marine_interface_id,marine_waterbody_id,land_part_id,source_polygon_id,source_ring_id,interface_type,start_vertex_sequence,end_vertex_sequence,start_longitude,start_latitude,end_longitude,end_latitude,design_segment,future_geographic_feature_reserve,source_path_reference,source_sha256,runtime_effect_scope
NG-MAR-IF-000001,NG-MAR-WAT-000001,NG-SOV-PART-000001,polygon-01,ring-01,MAINLAND_COASTLINE,208,233,40.700000,6.300000,41.512879,5.382576,northeastern_cliff_coast,cliff,data/novegeo/geography/world-boundary/authoring/novegeo_world_boundary_v002_segment-ledger.csv,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,SHARED_REFERENCE
NG-MAR-IF-000002,NG-MAR-WAT-000001,NG-SOV-PART-000001,polygon-01,ring-01,MAINLAND_COASTLINE,234,259,41.550000,5.350000,42.369320,4.775928,northeastern_cape_coast,cape,data/novegeo/geography/world-boundary/authoring/novegeo_world_boundary_v002_segment-ledger.csv,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,SHARED_REFERENCE
NG-MAR-IF-000003,NG-MAR-WAT-000001,NG-SOV-PART-000001,polygon-01,ring-01,MAINLAND_COASTLINE,260,285,42.400000,4.750000,43.218591,4.223137,eastern_irregular_coast_1,,data/novegeo/geography/world-boundary/authoring/novegeo_world_boundary_v002_segment-ledger.csv,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,SHARED_REFERENCE
NG-MAR-IF-000004,NG-MAR-WAT-000001,NG-SOV-PART-000001,polygon-01,ring-01,MAINLAND_COASTLINE,286,311,43.250000,4.200000,43.870826,3.235748,eastern_irregular_coast_2,,data/novegeo/geography/world-boundary/authoring/novegeo_world_boundary_v002_segment-ledger.csv,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,SHARED_REFERENCE
NG-MAR-IF-000005,NG-MAR-WAT-000001,NG-SOV-PART-000001,polygon-01,ring-01,MAINLAND_COASTLINE,312,337,43.900000,3.200000,44.183552,2.188982,eastern_irregular_coast_3,,data/novegeo/geography/world-boundary/authoring/novegeo_world_boundary_v002_segment-ledger.csv,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,SHARED_REFERENCE
NG-MAR-IF-000006,NG-MAR-WAT-000001,NG-SOV-PART-000001,polygon-01,ring-01,MAINLAND_COASTLINE,338,363,44.200000,2.150000,43.722090,1.570694,eastern_major_bay_entry,bay,data/novegeo/geography/world-boundary/authoring/novegeo_world_boundary_v002_segment-ledger.csv,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,SHARED_REFERENCE
NG-MAR-IF-000007,NG-MAR-WAT-000001,NG-SOV-PART-000001,polygon-01,ring-01,MAINLAND_COASTLINE,364,389,43.700000,1.550000,43.220225,1.116203,eastern_major_bay_inner,bay,data/novegeo/geography/world-boundary/authoring/novegeo_world_boundary_v002_segment-ledger.csv,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,SHARED_REFERENCE
NG-MAR-IF-000008,NG-MAR-WAT-000001,NG-SOV-PART-000001,polygon-01,ring-01,MAINLAND_COASTLINE,390,415,43.200000,1.100000,43.532333,0.568478,eastern_natural_harbour,natural_harbour,data/novegeo/geography/world-boundary/authoring/novegeo_world_boundary_v002_segment-ledger.csv,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,SHARED_REFERENCE
NG-MAR-IF-000009,NG-MAR-WAT-000001,NG-SOV-PART-000001,polygon-01,ring-01,MAINLAND_COASTLINE,416,441,43.550000,0.550000,44.076151,0.066266,eastern_estuary_reserve,estuary,data/novegeo/geography/world-boundary/authoring/novegeo_world_boundary_v002_segment-ledger.csv,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,SHARED_REFERENCE
NG-MAR-IF-000010,NG-MAR-WAT-000001,NG-SOV-PART-000001,polygon-01,ring-01,MAINLAND_COASTLINE,442,467,44.100000,0.050000,43.815480,-0.816699,eastern_major_bay_exit,bay,data/novegeo/geography/world-boundary/authoring/novegeo_world_boundary_v002_segment-ledger.csv,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,SHARED_REFERENCE
