anchor_id,route_candidate_id,anchor_role,marine_waterbody_id,sovereign_part_id,source_polygon_id,source_derivative_id,source_derivative_vertex_sequence,longitude,latitude,crs_code,source_path_reference,source_sha256,runtime_effect_scope
NG-MAR-ANCH-000001,NG-SEA-RT-CAND-000001,MAINLAND_DEPARTURE,NG-MAR-WAT-000001,NG-SOV-PART-000001,polygon-01,derivative:novegeo:sovereign:v002:standard:v001,246,43.541732,3.787799,EPSG:4326,data/novegeo/geography/world-boundary/derivatives/v002/novegeo_world_boundary_v002_standard.geojson,7aa728a7ea1cfc3440d0ac49f6bbc1db6afaaae3cc4cde116a54ea69d3f9f6e9,SHARED_REFERENCE
NG-MAR-ANCH-000002,NG-SEA-RT-CAND-000001,ISLAND_ARRIVAL,NG-MAR-WAT-000001,NG-SOV-PART-000002,polygon-02,derivative:novegeo:sovereign:v002:standard:v001,6,44.389145,4.56254,EPSG:4326,data/novegeo/geography/world-boundary/derivatives/v002/novegeo_world_boundary_v002_standard.geojson,7aa728a7ea1cfc3440d0ac49f6bbc1db6afaaae3cc4cde116a54ea69d3f9f6e9,SHARED_REFERENCE
NG-MAR-ANCH-000003,NG-SEA-RT-CAND-000002,MAINLAND_DEPARTURE,NG-MAR-WAT-000001,NG-SOV-PART-000001,polygon-01,derivative:novegeo:sovereign:v002:standard:v001,241,43.78512,3.453597,EPSG:4326,data/novegeo/geography/world-boundary/derivatives/v002/novegeo_world_boundary_v002_standard.geojson,7aa728a7ea1cfc3440d0ac49f6bbc1db6afaaae3cc4cde116a54ea69d3f9f6e9,SHARED_REFERENCE
NG-MAR-ANCH-000004,NG-SEA-RT-CAND-000002,ISLAND_ARRIVAL,NG-MAR-WAT-000001,NG-SOV-PART-000003,polygon-03,derivative:novegeo:sovereign:v002:standard:v001,5,44.522512,3.717895,EPSG:4326,data/novegeo/geography/world-boundary/derivatives/v002/novegeo_world_boundary_v002_standard.geojson,7aa728a7ea1cfc3440d0ac49f6bbc1db6afaaae3cc4cde116a54ea69d3f9f6e9,SHARED_REFERENCE
NG-MAR-ANCH-000005,NG-SEA-RT-CAND-000003,MAINLAND_DEPARTURE,NG-MAR-WAT-000001,NG-SOV-PART-000001,polygon-01,derivative:novegeo:sovereign:v002:standard:v001,146,43.663408,-2.047142,EPSG:4326,data/novegeo/geography/world-boundary/derivatives/v002/novegeo_world_boundary_v002_standard.geojson,7aa728a7ea1cfc3440d0ac49f6bbc1db6afaaae3cc4cde116a54ea69d3f9f6e9,SHARED_REFERENCE
NG-MAR-ANCH-000006,NG-SEA-RT-CAND-000003,ISLAND_ARRIVAL,NG-MAR-WAT-000001,NG-SOV-PART-000004,polygon-04,derivative:novegeo:sovereign:v002:standard:v001,2,44.26468,-1.876934,EPSG:4326,data/novegeo/geography/world-boundary/derivatives/v002/novegeo_world_boundary_v002_standard.geojson,7aa728a7ea1cfc3440d0ac49f6bbc1db6afaaae3cc4cde116a54ea69d3f9f6e9,SHARED_REFERENCE
NG-MAR-ANCH-000007,NG-SEA-RT-CAND-000004,MAINLAND_DEPARTURE,NG-MAR-WAT-000001,NG-SOV-PART-000001,polygon-01,derivative:novegeo:sovereign:v002:standard:v001,123,43.819642,-3.584862,EPSG:4326,data/novegeo/geography/world-boundary/derivatives/v002/novegeo_world_boundary_v002_standard.geojson,7aa728a7ea1cfc3440d0ac49f6bbc1db6afaaae3cc4cde116a54ea69d3f9f6e9,SHARED_REFERENCE
NG-MAR-ANCH-000008,NG-SEA-RT-CAND-000004,ISLAND_ARRIVAL,NG-MAR-WAT-000001,NG-SOV-PART-000005,polygon-05,derivative:novegeo:sovereign:v002:standard:v001,23,44.187027,-3.803168,EPSG:4326,data/novegeo/geography/world-boundary/derivatives/v002/novegeo_world_boundary_v002_standard.geojson,7aa728a7ea1cfc3440d0ac49f6bbc1db6afaaae3cc4cde116a54ea69d3f9f6e9,SHARED_REFERENCE
NG-MAR-ANCH-000009,NG-SEA-RT-CAND-000005,MAINLAND_DEPARTURE,NG-MAR-WAT-000001,NG-SOV-PART-000001,polygon-01,derivative:novegeo:sovereign:v002:standard:v001,104,42.841391,-5.076683,EPSG:4326,data/novegeo/geography/world-boundary/derivatives/v002/novegeo_world_boundary_v002_standard.geojson,7aa728a7ea1cfc3440d0ac49f6bbc1db6afaaae3cc4cde116a54ea69d3f9f6e9,SHARED_REFERENCE
NG-MAR-ANCH-000010,NG-SEA-RT-CAND-000005,ISLAND_ARRIVAL,NG-MAR-WAT-000001,NG-SOV-PART-000006,polygon-06,derivative:novegeo:sovereign:v002:standard:v001,26,43.220781,-5.453968,EPSG:4326,data/novegeo/geography/world-boundary/derivatives/v002/novegeo_world_boundary_v002_standard.geojson,7aa728a7ea1cfc3440d0ac49f6bbc1db6afaaae3cc4cde116a54ea69d3f9f6e9,SHARED_REFERENCE
