name_id,canonical_name,ascii_name,name_family,derivation_type,source_record_id,source_name,source_family,transformation_rule,naming_status_code,source_basis,runtime_effect_scope,record_status
NG-NAM-SEA-000001,Bellwether Passage,Bellwether Passage,SEA_ROUTE,SOURCE_DERIVED,NGP-000002,Bellwether,PLACE,prefix=NONE;suffix=Passage,AVAILABLE,NoveGeo governed source-name roots already used by island_name_catalogue.csv; sea-route names generated as unassigned source catalogue only,SHARED_REFERENCE,ACTIVE
NG-NAM-SEA-000002,New Carrow Channel,New Carrow Channel,SEA_ROUTE,SOURCE_DERIVED,NGP-000003,New Carrow,PLACE,prefix=NONE;suffix=Channel,AVAILABLE,NoveGeo governed source-name roots already used by island_name_catalogue.csv; sea-route names generated as unassigned source catalogue only,SHARED_REFERENCE,ACTIVE
NG-NAM-SEA-000003,East Meridian Crossing,East Meridian Crossing,SEA_ROUTE,SOURCE_DERIVED,NGP-000004,East Meridian,PLACE,prefix=NONE;suffix=Crossing,AVAILABLE,NoveGeo governed source-name roots already used by island_name_catalogue.csv; sea-route names generated as unassigned source catalogue only,SHARED_REFERENCE,ACTIVE
NG-NAM-SEA-000004,Ashbourne Passage,Ashbourne Passage,SEA_ROUTE,SOURCE_DERIVED,NGP-000025,Ashbourne,PLACE,prefix=NONE;suffix=Passage,AVAILABLE,NoveGeo governed source-name roots already used by island_name_catalogue.csv; sea-route names generated as unassigned source catalogue only,SHARED_REFERENCE,ACTIVE
NG-NAM-SEA-000005,Elmtree Channel,Elmtree Channel,SEA_ROUTE,SOURCE_DERIVED,NGP-000027,Elmtree,PLACE,prefix=NONE;suffix=Channel,AVAILABLE,NoveGeo governed source-name roots already used by island_name_catalogue.csv; sea-route names generated as unassigned source catalogue only,SHARED_REFERENCE,ACTIVE
NG-NAM-SEA-000006,Kingswell Crossing,Kingswell Crossing,SEA_ROUTE,SOURCE_DERIVED,NGP-000029,Kingswell,PLACE,prefix=NONE;suffix=Crossing,AVAILABLE,NoveGeo governed source-name roots already used by island_name_catalogue.csv; sea-route names generated as unassigned source catalogue only,SHARED_REFERENCE,ACTIVE
NG-NAM-SEA-000007,Brackenford Passage,Brackenford Passage,SEA_ROUTE,SOURCE_DERIVED,NGP-000030,Brackenford,PLACE,prefix=NONE;suffix=Passage,AVAILABLE,NoveGeo governed source-name roots already used by island_name_catalogue.csv; sea-route names generated as unassigned source catalogue only,SHARED_REFERENCE,ACTIVE
NG-NAM-SEA-000008,Rosehaven Channel,Rosehaven Channel,SEA_ROUTE,SOURCE_DERIVED,NGP-000031,Rosehaven,PLACE,prefix=NONE;suffix=Channel,AVAILABLE,NoveGeo governed source-name roots already used by island_name_catalogue.csv; sea-route names generated as unassigned source catalogue only,SHARED_REFERENCE,ACTIVE
NG-NAM-SEA-000009,Claybourne Crossing,Claybourne Crossing,SEA_ROUTE,SOURCE_DERIVED,NGP-000032,Claybourne,PLACE,prefix=NONE;suffix=Crossing,AVAILABLE,NoveGeo governed source-name roots already used by island_name_catalogue.csv; sea-route names generated as unassigned source catalogue only,SHARED_REFERENCE,ACTIVE
NG-NAM-SEA-000010,Newstead Passage,Newstead Passage,SEA_ROUTE,SOURCE_DERIVED,NGP-000033,Newstead,PLACE,prefix=NONE;suffix=Passage,AVAILABLE,NoveGeo governed source-name roots already used by island_name_catalogue.csv; sea-route names generated as unassigned source catalogue only,SHARED_REFERENCE,ACTIVE
NG-NAM-SEA-000011,Larkspur Channel,Larkspur Channel,SEA_ROUTE,SOURCE_DERIVED,NGP-000034,Larkspur,PLACE,prefix=NONE;suffix=Channel,AVAILABLE,NoveGeo governed source-name roots already used by island_name_catalogue.csv; sea-route names generated as unassigned source catalogue only,SHARED_REFERENCE,ACTIVE
NG-NAM-SEA-000012,Eastbridge Crossing,Eastbridge Crossing,SEA_ROUTE,SOURCE_DERIVED,NGP-000035,Eastbridge,PLACE,prefix=NONE;suffix=Crossing,AVAILABLE,NoveGeo governed source-name roots already used by island_name_catalogue.csv; sea-route names generated as unassigned source catalogue only,SHARED_REFERENCE,ACTIVE
NG-NAM-SEA-000013,Hillmark Passage,Hillmark Passage,SEA_ROUTE,SOURCE_DERIVED,NGP-000036,Hillmark,PLACE,prefix=NONE;suffix=Passage,AVAILABLE,NoveGeo governed source-name roots already used by island_name_catalogue.csv; sea-route names generated as unassigned source catalogue only,SHARED_REFERENCE,ACTIVE
NG-NAM-SEA-000014,Greyhaven Channel,Greyhaven Channel,SEA_ROUTE,SOURCE_DERIVED,NGP-000037,Greyhaven,PLACE,prefix=NONE;suffix=Channel,AVAILABLE,NoveGeo governed source-name roots already used by island_name_catalogue.csv; sea-route names generated as unassigned source catalogue only,SHARED_REFERENCE,ACTIVE
NG-NAM-SEA-000015,Stoneleigh Crossing,Stoneleigh Crossing,SEA_ROUTE,SOURCE_DERIVED,NGP-000039,Stoneleigh,PLACE,prefix=NONE;suffix=Crossing,AVAILABLE,NoveGeo governed source-name roots already used by island_name_catalogue.csv; sea-route names generated as unassigned source catalogue only,SHARED_REFERENCE,ACTIVE
NG-NAM-SEA-000016,Lower Ashbourne Passage,Lower Ashbourne Passage,SEA_ROUTE,SOURCE_DERIVED,NGP-000049,Lower Ashbourne,PLACE,prefix=NONE;suffix=Passage,AVAILABLE,NoveGeo governed source-name roots already used by island_name_catalogue.csv; sea-route names generated as unassigned source catalogue only,SHARED_REFERENCE,ACTIVE
NG-NAM-SEA-000017,Ashbourne Green Channel,Ashbourne Green Channel,SEA_ROUTE,SOURCE_DERIVED,NGP-000050,Ashbourne Green,PLACE,prefix=NONE;suffix=Channel,AVAILABLE,NoveGeo governed source-name roots already used by island_name_catalogue.csv; sea-route names generated as unassigned source catalogue only,SHARED_REFERENCE,ACTIVE
NG-NAM-SEA-000018,Crescenton Fields Crossing,Crescenton Fields Crossing,SEA_ROUTE,SOURCE_DERIVED,NGP-000052,Crescenton Fields,PLACE,prefix=NONE;suffix=Crossing,AVAILABLE,NoveGeo governed source-name roots already used by island_name_catalogue.csv; sea-route names generated as unassigned source catalogue only,SHARED_REFERENCE,ACTIVE
NG-NAM-SEA-000019,Elmtree Hollow Passage,Elmtree Hollow Passage,SEA_ROUTE,SOURCE_DERIVED,NGP-000053,Elmtree Hollow,PLACE,prefix=NONE;suffix=Passage,AVAILABLE,NoveGeo governed source-name roots already used by island_name_catalogue.csv; sea-route names generated as unassigned source catalogue only,SHARED_REFERENCE,ACTIVE
NG-NAM-SEA-000020,Elmtree Brook Channel,Elmtree Brook Channel,SEA_ROUTE,SOURCE_DERIVED,NGP-000054,Elmtree Brook,PLACE,prefix=NONE;suffix=Channel,AVAILABLE,NoveGeo governed source-name roots already used by island_name_catalogue.csv; sea-route names generated as unassigned source catalogue only,SHARED_REFERENCE,ACTIVE
