route_candidate_id,vertex_sequence,longitude,latitude,crs_code,vertex_role,vertex_origin,source_derivative_id,source_polygon_id,source_derivative_vertex_sequence,interpolation_fraction,runtime_effect_scope
NG-SEA-RT-CAND-000001,1,43.541732,3.787799,EPSG:4326,ROUTE_ENDPOINT,SOURCE_DERIVATIVE_ANCHOR,derivative:novegeo:sovereign:v002:standard:v001,polygon-01,246,0.0,SHARED_REFERENCE
NG-SEA-RT-CAND-000001,2,43.753431878,3.981570208,EPSG:4326,ROUTE_INTERMEDIATE_WAYPOINT,GEODESIC_INTERPOLATION_FROM_ANCHOR_PAIR,,,,0.25,SHARED_REFERENCE
NG-SEA-RT-CAND-000001,3,43.965230768,4.175285935,EPSG:4326,ROUTE_INTERMEDIATE_WAYPOINT,GEODESIC_INTERPOLATION_FROM_ANCHOR_PAIR,,,,0.5,SHARED_REFERENCE
NG-SEA-RT-CAND-000001,4,44.177133523,4.368943445,EPSG:4326,ROUTE_INTERMEDIATE_WAYPOINT,GEODESIC_INTERPOLATION_FROM_ANCHOR_PAIR,,,,0.75,SHARED_REFERENCE
NG-SEA-RT-CAND-000001,5,44.389145,4.56254,EPSG:4326,ROUTE_ENDPOINT,SOURCE_DERIVATIVE_ANCHOR,derivative:novegeo:sovereign:v002:standard:v001,polygon-02,6,1.0,SHARED_REFERENCE
NG-SEA-RT-CAND-000002,1,43.78512,3.453597,EPSG:4326,ROUTE_ENDPOINT,SOURCE_DERIVATIVE_ANCHOR,derivative:novegeo:sovereign:v002:standard:v001,polygon-01,241,0.0,SHARED_REFERENCE
NG-SEA-RT-CAND-000002,2,43.969428538,3.519727204,EPSG:4326,ROUTE_INTERMEDIATE_WAYPOINT,GEODESIC_INTERPOLATION_FROM_ANCHOR_PAIR,,,,0.25,SHARED_REFERENCE
NG-SEA-RT-CAND-000002,3,44.153763066,3.585820736,EPSG:4326,ROUTE_INTERMEDIATE_WAYPOINT,GEODESIC_INTERPOLATION_FROM_ANCHOR_PAIR,,,,0.5,SHARED_REFERENCE
NG-SEA-RT-CAND-000002,4,44.338124061,3.6518769,EPSG:4326,ROUTE_INTERMEDIATE_WAYPOINT,GEODESIC_INTERPOLATION_FROM_ANCHOR_PAIR,,,,0.75,SHARED_REFERENCE
NG-SEA-RT-CAND-000002,5,44.522512,3.717895,EPSG:4326,ROUTE_ENDPOINT,SOURCE_DERIVATIVE_ANCHOR,derivative:novegeo:sovereign:v002:standard:v001,polygon-03,5,1.0,SHARED_REFERENCE
NG-SEA-RT-CAND-000003,1,43.663408,-2.047142,EPSG:4326,ROUTE_ENDPOINT,SOURCE_DERIVATIVE_ANCHOR,derivative:novegeo:sovereign:v002:standard:v001,polygon-01,146,0.0,SHARED_REFERENCE
NG-SEA-RT-CAND-000003,2,43.813737478,-2.004610558,EPSG:4326,ROUTE_INTERMEDIATE_WAYPOINT,GEODESIC_INTERPOLATION_FROM_ANCHOR_PAIR,,,,0.25,SHARED_REFERENCE
NG-SEA-RT-CAND-000003,3,43.964059195,-1.962065214,EPSG:4326,ROUTE_INTERMEDIATE_WAYPOINT,GEODESIC_INTERPOLATION_FROM_ANCHOR_PAIR,,,,0.5,SHARED_REFERENCE
NG-SEA-RT-CAND-000003,4,44.114373315,-1.919506262,EPSG:4326,ROUTE_INTERMEDIATE_WAYPOINT,GEODESIC_INTERPOLATION_FROM_ANCHOR_PAIR,,,,0.75,SHARED_REFERENCE
NG-SEA-RT-CAND-000003,5,44.26468,-1.876934,EPSG:4326,ROUTE_ENDPOINT,SOURCE_DERIVATIVE_ANCHOR,derivative:novegeo:sovereign:v002:standard:v001,polygon-04,2,1.0,SHARED_REFERENCE
NG-SEA-RT-CAND-000004,1,43.819642,-3.584862,EPSG:4326,ROUTE_ENDPOINT,SOURCE_DERIVATIVE_ANCHOR,derivative:novegeo:sovereign:v002:standard:v001,polygon-01,123,0.0,SHARED_REFERENCE
NG-SEA-RT-CAND-000004,2,43.911471501,-3.639452824,EPSG:4326,ROUTE_INTERMEDIATE_WAYPOINT,GEODESIC_INTERPOLATION_FROM_ANCHOR_PAIR,,,,0.25,SHARED_REFERENCE
NG-SEA-RT-CAND-000004,3,44.003312057,-3.694034194,EPSG:4326,ROUTE_INTERMEDIATE_WAYPOINT,GEODESIC_INTERPOLATION_FROM_ANCHOR_PAIR,,,,0.5,SHARED_REFERENCE
NG-SEA-RT-CAND-000004,4,44.095163835,-3.748605967,EPSG:4326,ROUTE_INTERMEDIATE_WAYPOINT,GEODESIC_INTERPOLATION_FROM_ANCHOR_PAIR,,,,0.75,SHARED_REFERENCE
NG-SEA-RT-CAND-000004,5,44.187027,-3.803168,EPSG:4326,ROUTE_ENDPOINT,SOURCE_DERIVATIVE_ANCHOR,derivative:novegeo:sovereign:v002:standard:v001,polygon-05,23,1.0,SHARED_REFERENCE
NG-SEA-RT-CAND-000005,1,42.841391,-5.076683,EPSG:4326,ROUTE_ENDPOINT,SOURCE_DERIVATIVE_ANCHOR,derivative:novegeo:sovereign:v002:standard:v001,polygon-01,104,0.0,SHARED_REFERENCE
NG-SEA-RT-CAND-000005,2,42.936195878,-5.171026208,EPSG:4326,ROUTE_INTERMEDIATE_WAYPOINT,GEODESIC_INTERPOLATION_FROM_ANCHOR_PAIR,,,,0.25,SHARED_REFERENCE
NG-SEA-RT-CAND-000005,3,43.031028824,-5.265354957,EPSG:4326,ROUTE_INTERMEDIATE_WAYPOINT,GEODESIC_INTERPOLATION_FROM_ANCHOR_PAIR,,,,0.5,SHARED_REFERENCE
NG-SEA-RT-CAND-000005,4,43.125890359,-5.359668978,EPSG:4326,ROUTE_INTERMEDIATE_WAYPOINT,GEODESIC_INTERPOLATION_FROM_ANCHOR_PAIR,,,,0.75,SHARED_REFERENCE
NG-SEA-RT-CAND-000005,5,43.220781,-5.453968,EPSG:4326,ROUTE_ENDPOINT,SOURCE_DERIVATIVE_ANCHOR,derivative:novegeo:sovereign:v002:standard:v001,polygon-06,26,1.0,SHARED_REFERENCE
