coordinate_candidate_id,canonical_longitude,canonical_latitude,governed_crs_code,occurrence_count,land_marine_classification,canonicalization_status
coordcand:nngla:f278ba55142ad66b2eb1558f789118032feeaf55405f26ef7f73ec8010e483cb,36.520654,-7.717467,NG-CRS-EPSG4326,1,UNRESOLVED_PENDING_17B,CANDIDATE_ONLY_NOT_PERSISTED
coordcand:nngla:0dc430110cb84e245aea4b09a4f46cdf54fcd6022f1dcdf023be4552dfdf0486,36.625682,-7.716126,NG-CRS-EPSG4326,1,UNRESOLVED_PENDING_17B,CANDIDATE_ONLY_NOT_PERSISTED
coordcand:nngla:dbcecdf9b095fd1d9f3058b36dd61f817b5f6a93ece2c286028e9bf587990248,36.730725,-7.715442,NG-CRS-EPSG4326,1,UNRESOLVED_PENDING_17B,CANDIDATE_ONLY_NOT_PERSISTED
coordcand:nngla:6608286abd0e81e16d6bd62aba3be0f083988370df4c2b930b839f49617d2d85,36.415443,-7.71111,NG-CRS-EPSG4326,1,UNRESOLVED_PENDING_17B,CANDIDATE_ONLY_NOT_PERSISTED
coordcand:nngla:452dfafc50d75c153119ebb3155d7d59d083c343d5cb90f3041750813aceacad,36.835505,-7.703703,NG-CRS-EPSG4326,1,UNRESOLVED_PENDING_17B,CANDIDATE_ONLY_NOT_PERSISTED
coordcand:nngla:96470ec3899a6a857bab538ad80d7487a655b24e5e0147cd527f0ed78f82037a,36.1,-7.7,NG-CRS-EPSG4326,1,UNRESOLVED_PENDING_17B,CANDIDATE_ONLY_NOT_PERSISTED
coordcand:nngla:b8cb19a07562a99aaa56a3daf8f83091e1c64b72c3f2721ad67705f237cd68b8,36.310108,-7.699556,NG-CRS-EPSG4326,1,UNRESOLVED_PENDING_17B,CANDIDATE_ONLY_NOT_PERSISTED
coordcand:nngla:d08bc74ea0caf53478428801872aa6888e641ef6fa3ead834944fcd055170975,36.204984,-7.696846,NG-CRS-EPSG4326,1,UNRESOLVED_PENDING_17B,CANDIDATE_ONLY_NOT_PERSISTED
coordcand:nngla:4be29949c6304e74be37dd5afe05fc478b8e0ed97ec8fa7d03e73bea54123365,36.93992,-7.676656,NG-CRS-EPSG4326,1,UNRESOLVED_PENDING_17B,CANDIDATE_ONLY_NOT_PERSISTED
coordcand:nngla:63ac3c1770ce4929c6beddaf34055a14267817791c1d607c5e43e55d2b1baa20,35.957562,-7.672603,NG-CRS-EPSG4326,1,UNRESOLVED_PENDING_17B,CANDIDATE_ONLY_NOT_PERSISTED
coordcand:nngla:d4cad30cde6a6969daffd424a0da16dd7ba8caec05d1aa4b3fbf3484fcd1367f,37.149794,-7.666328,NG-CRS-EPSG4326,1,UNRESOLVED_PENDING_17B,CANDIDATE_ONLY_NOT_PERSISTED
coordcand:nngla:ee899760c1e1a97252dad8d915766071a098194dd151d4a3209d5c53f4631343,37.254802,-7.664172,NG-CRS-EPSG4326,1,UNRESOLVED_PENDING_17B,CANDIDATE_ONLY_NOT_PERSISTED
coordcand:nngla:f34925eb938baea69de230e48b343aa7465f68088e6f72890971aa1850ff2c00,37.044626,-7.6618,NG-CRS-EPSG4326,1,UNRESOLVED_PENDING_17B,CANDIDATE_ONLY_NOT_PERSISTED
coordcand:nngla:f74a06d9f118e49d2dbf88dc5c216e71e44bf690c800d64de55263d830d7a497,37.359618,-7.653941,NG-CRS-EPSG4326,1,UNRESOLVED_PENDING_17B,CANDIDATE_ONLY_NOT_PERSISTED
coordcand:nngla:d77ec4bf087c402ba89ba4d327e729795d7d6869164a3257215c0551c7b93746,37.464646,-7.652638,NG-CRS-EPSG4326,1,UNRESOLVED_PENDING_17B,CANDIDATE_ONLY_NOT_PERSISTED
coordcand:nngla:d054aca6e68548ea4862bec0c150a9eb3def26c7ed8be39ecd1572f4da989e55,38.094987,-7.651933,NG-CRS-EPSG4326,1,UNRESOLVED_PENDING_17B,CANDIDATE_ONLY_NOT_PERSISTED
coordcand:nngla:e8172fc56e3ed10c6d9bc4a05dfe7832de01c0fa4dc7c62b3b0270c82d3be50b,37.989887,-7.650256,NG-CRS-EPSG4326,1,UNRESOLVED_PENDING_17B,CANDIDATE_ONLY_NOT_PERSISTED
coordcand:nngla:5e59455e6ce2c56ced5bac21c357babde8cda804bb8d6c247b7a8d37f68b7e9c,38.2,-7.65,NG-CRS-EPSG4326,1,UNRESOLVED_PENDING_17B,CANDIDATE_ONLY_NOT_PERSISTED
coordcand:nngla:cbe80b98ab5a356ebaa35e2190e0ef3785b5cd7765cab778c742f65612c1711e,37.569634,-7.649648,NG-CRS-EPSG4326,1,UNRESOLVED_PENDING_17B,CANDIDATE_ONLY_NOT_PERSISTED
coordcand:nngla:65697d0035b42beefafc4aac55b50ba6187546cefb7d7424ba2e2c07b36e03bd,35.81515,-7.645061,NG-CRS-EPSG4326,1,UNRESOLVED_PENDING_17B,CANDIDATE_ONLY_NOT_PERSISTED
coordcand:nngla:4417c7b3beffbfdb9eb3ebe0de37ada7baf81e865560109210e0f36231d577ef,37.884629,-7.641918,NG-CRS-EPSG4326,1,UNRESOLVED_PENDING_17B,CANDIDATE_ONLY_NOT_PERSISTED
coordcand:nngla:147c0038195d453251b8f20fddac0862c3aec48508a99d9877ed4fec1519d4ab,37.674368,-7.635963,NG-CRS-EPSG4326,1,UNRESOLVED_PENDING_17B,CANDIDATE_ONLY_NOT_PERSISTED
coordcand:nngla:9838074d78b86eafcdedf12869bdb5af8ef8ed44fd0ad520cde53db31c437bf2,38.274402,-7.635806,NG-CRS-EPSG4326,2,UNRESOLVED_PENDING_17B,CANDIDATE_ONLY_NOT_PERSISTED
coordcand:nngla:4dc26feae7e90aba071246b27f1e5889f3f5323219fe678bbb84353670d69c1d,37.779319,-7.631383,NG-CRS-EPSG4326,1,UNRESOLVED_PENDING_17B,CANDIDATE_ONLY_NOT_PERSISTED
coordcand:nngla:9792985da2dc6081fbfac5957f7e38a9f0ebd27b003ce83ea5bd386e0d841a19,38.350291,-7.62726,NG-CRS-EPSG4326,1,UNRESOLVED_PENDING_17B,CANDIDATE_ONLY_NOT_PERSISTED
