coordinate_occurrence_id,source_file_id,source_record_id,parent_object_type,parent_object_id,geometry_role,ring_id,vertex_sequence,source_longitude_text,source_latitude_text,source_longitude_numeric,source_latitude_numeric,crs_source_code,source_version
coordocc:nngla:05812dfd222ecd704986f4963c2003cde85322352bfa9c706a4467f7e5340c4e,NG-SPFILE-001,NG-CLIM-OBS-000001,SPATIAL_POINT,NG-SPT-000001,POINT_OBSERVATION,,,35.14,-7.507467,35.14,-7.507467,UNDECLARED_IN_ROW,1
coordocc:nngla:ad7f3028b279fdb31edde977c8aee313c53ebea0aa5c901db14533560fcf4feb,NG-SPFILE-001,NG-CLIM-OBS-000002,SPATIAL_POINT,NG-SPT-000005,POINT_OBSERVATION,,,36.82,-7.507467,36.82,-7.507467,UNDECLARED_IN_ROW,1
coordocc:nngla:f3fed2c3662e53001db5a80b131889bdf2cf31969f9b85214310ac92bb8d2ac1,NG-SPFILE-001,NG-CLIM-OBS-000003,SPATIAL_POINT,NG-SPT-000009,POINT_OBSERVATION,,,38.5,-7.507467,38.5,-7.507467,UNDECLARED_IN_ROW,1
coordocc:nngla:311eda330d01974e946397d3942905a1c6e94aa46eb0256c3bfa26c03d0212cf,NG-SPFILE-001,NG-CLIM-OBS-000004,SPATIAL_POINT,NG-SPT-000013,POINT_OBSERVATION,,,34.72,-7.087467,34.72,-7.087467,UNDECLARED_IN_ROW,1
coordocc:nngla:7fa6ceacda178ffbf9d33d0ea36281be39e9e63979a710dd5cbf5c5b8c1fdddd,NG-SPFILE-001,NG-CLIM-OBS-000005,SPATIAL_POINT,NG-SPT-000017,POINT_OBSERVATION,,,36.4,-7.087467,36.4,-7.087467,UNDECLARED_IN_ROW,1
coordocc:nngla:a26f8dd2bb9a595ef68def135691d885c99d4e5eaed42de02abb3875924937cb,NG-SPFILE-001,NG-CLIM-OBS-000006,SPATIAL_POINT,NG-SPT-000021,POINT_OBSERVATION,,,38.08,-7.087467,38.08,-7.087467,UNDECLARED_IN_ROW,1
coordocc:nngla:1576de5a54819895a3dc1e51c57cdf3cade56f85340014767d697f3434c84b17,NG-SPFILE-001,NG-CLIM-OBS-000007,SPATIAL_POINT,NG-SPT-000025,POINT_OBSERVATION,,,39.76,-7.087467,39.76,-7.087467,UNDECLARED_IN_ROW,1
coordocc:nngla:ea923fd270d6130f74cbfdd99f5d7984f6d0615691e1eb93f427f1ca7a024d3a,NG-SPFILE-001,NG-CLIM-OBS-000008,SPATIAL_POINT,NG-SPT-000029,POINT_OBSERVATION,,,33.04,-6.667467,33.04,-6.667467,UNDECLARED_IN_ROW,1
coordocc:nngla:df19eafc21620423e27e151d3b5c7ddf864dce8275f3dbb00d7b3a1a8ff1a020,NG-SPFILE-001,NG-CLIM-OBS-000009,SPATIAL_POINT,NG-SPT-000033,POINT_OBSERVATION,,,34.72,-6.667467,34.72,-6.667467,UNDECLARED_IN_ROW,1
coordocc:nngla:96f2f2fccbacc3ce45ab3d2c13b0514de8c944c018639bfc5273b7650537e2ae,NG-SPFILE-001,NG-CLIM-OBS-000010,SPATIAL_POINT,NG-SPT-000037,POINT_OBSERVATION,,,36.4,-6.667467,36.4,-6.667467,UNDECLARED_IN_ROW,1
coordocc:nngla:53160619702927a62df2ccd45cf0d74818073d7f1aee9970865228310adcfcc9,NG-SPFILE-001,NG-CLIM-OBS-000011,SPATIAL_POINT,NG-SPT-000041,POINT_OBSERVATION,,,38.08,-6.667467,38.08,-6.667467,UNDECLARED_IN_ROW,1
coordocc:nngla:cff55a3fbcf5a4b1020e2668e34aa62963424dd435313a20f3c4b318e9e1364b,NG-SPFILE-001,NG-CLIM-OBS-000012,SPATIAL_POINT,NG-SPT-000045,POINT_OBSERVATION,,,39.76,-6.667467,39.76,-6.667467,UNDECLARED_IN_ROW,1
coordocc:nngla:81f5397ce2f57f446c3e00bd946ce622f4102111d07f366251901ded4bb68540,NG-SPFILE-001,NG-CLIM-OBS-000013,SPATIAL_POINT,NG-SPT-000049,POINT_OBSERVATION,,,31.78,-6.247467,31.78,-6.247467,UNDECLARED_IN_ROW,1
coordocc:nngla:13158ae93406de8784e03ffe1a661c457b0beffdf1440a985d45dd4da2271aa6,NG-SPFILE-001,NG-CLIM-OBS-000014,SPATIAL_POINT,NG-SPT-000053,POINT_OBSERVATION,,,33.46,-6.247467,33.46,-6.247467,UNDECLARED_IN_ROW,1
coordocc:nngla:6d45ec4ec5d4f3ef0c58c26c35633d96892489c78bf2c645b3cf4d502a05d603,NG-SPFILE-001,NG-CLIM-OBS-000015,SPATIAL_POINT,NG-SPT-000057,POINT_OBSERVATION,,,35.14,-6.247467,35.14,-6.247467,UNDECLARED_IN_ROW,1
coordocc:nngla:52f5d0a898f40a514b819dbb24028adebd9e3829690c5640c63b1e89c3b08302,NG-SPFILE-001,NG-CLIM-OBS-000016,SPATIAL_POINT,NG-SPT-000061,POINT_OBSERVATION,,,36.82,-6.247467,36.82,-6.247467,UNDECLARED_IN_ROW,1
coordocc:nngla:38086f58b6e267152b66b5b951a1e58111fdaed21868934fadb7fe6d27871917,NG-SPFILE-001,NG-CLIM-OBS-000017,SPATIAL_POINT,NG-SPT-000065,POINT_OBSERVATION,,,38.5,-6.247467,38.5,-6.247467,UNDECLARED_IN_ROW,1
