candidate_id,source_feature_id,feature_type_code,source_dataset_id,source_record_reference,physical_origin_class,geometry_reference,geometry_status,qualification_status,existing_canonical_feature_id,runtime_mode,runtime_effect_scope,candidate_status
featcand:nngla:d158989b0d5a29486c441409fca588bacedce80d3f7f0f1fb72f4db25ec73f42,boundary-part:1,MAINLAND,dataset:novegeo:world-boundary,boundary-part:1,NATURAL,data/novegeo/geography/world-boundary/candidate/novegeo_world_boundary_v002.geojson,EXISTING_CANONICAL_SOURCE,QUALIFIED_SOURCE,NG-FEAT-000001,production,SHARED_REFERENCE,REUSE_CANONICAL
featcand:nngla:0c42f74ab8312274faef09c2763d6c7bf38b732f61d94b9d49fda827994fbdb9,river:novegeo:r000001,RIVER,dataset:novegeo:hydrology:surface-water,river:novegeo:r000001,NATURAL,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,EXISTING_CANONICAL_SOURCE,QUALIFIED_SOURCE,NG-FEAT-000002,production,SHARED_REFERENCE,REUSE_CANONICAL
featcand:nngla:3a5c1d2e25dc178b1e5f73cebfe665ff1512f6987490b55728ca316ca4578000,river:novegeo:r000002,RIVER,dataset:novegeo:hydrology:surface-water,river:novegeo:r000002,NATURAL,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,EXISTING_CANONICAL_SOURCE,QUALIFIED_SOURCE,NG-FEAT-000003,production,SHARED_REFERENCE,REUSE_CANONICAL
featcand:nngla:b77678b0301a9b84a62673590d4647a2477134c48708e79e92951664d8abb5fb,river:novegeo:r000003,RIVER,dataset:novegeo:hydrology:surface-water,river:novegeo:r000003,NATURAL,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,EXISTING_CANONICAL_SOURCE,QUALIFIED_SOURCE,NG-FEAT-000004,production,SHARED_REFERENCE,REUSE_CANONICAL
featcand:nngla:b1102c99c4b80bb5c7d161e27d80f29be0336eb7f3436156a75d07b4d1126df7,river:novegeo:r000004,RIVER,dataset:novegeo:hydrology:surface-water,river:novegeo:r000004,NATURAL,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,EXISTING_CANONICAL_SOURCE,QUALIFIED_SOURCE,NG-FEAT-000005,production,SHARED_REFERENCE,REUSE_CANONICAL
featcand:nngla:30061e846f6651b09280838e93d5644c51236662c7312a4e73eb4a4975da9afc,river:novegeo:r000005,RIVER,dataset:novegeo:hydrology:surface-water,river:novegeo:r000005,NATURAL,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,EXISTING_CANONICAL_SOURCE,QUALIFIED_SOURCE,NG-FEAT-000006,production,SHARED_REFERENCE,REUSE_CANONICAL
featcand:nngla:46bee1f1387b08be715ccc02a8304114536974b6852c72999a6db05f6f1def21,lake:novegeo:l000001,LAKE,dataset:novegeo:hydrology:surface-water,lake:novegeo:l000001,NATURAL,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,EXISTING_CANONICAL_SOURCE,QUALIFIED_SOURCE,NG-FEAT-000007,production,SHARED_REFERENCE,REUSE_CANONICAL
featcand:nngla:8eeb8d0137143008570b3154b966dfae652266e6f017b1e73fe8f4cf2391155e,lake:novegeo:l000002,LAKE,dataset:novegeo:hydrology:surface-water,lake:novegeo:l000002,NATURAL,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,EXISTING_CANONICAL_SOURCE,QUALIFIED_SOURCE,NG-FEAT-000008,production,SHARED_REFERENCE,REUSE_CANONICAL
featcand:nngla:91525be91edd0fd662c2c0582818f5dbb18ff51d3c8a98a36de1c26f3db5b9d3,lake:novegeo:l000003,LAKE,dataset:novegeo:hydrology:surface-water,lake:novegeo:l000003,NATURAL,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,EXISTING_CANONICAL_SOURCE,QUALIFIED_SOURCE,NG-FEAT-000009,production,SHARED_REFERENCE,REUSE_CANONICAL
featcand:nngla:8faaaa66ba2e7665e2e1ec5ba5a2527f938cd90dd3b497fd18429a43c8253c9a,landform:novegeo:mountain:001,MOUNTAIN,dataset:novegeo:landforms,landform:novegeo:mountain:001,NATURAL,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,EXISTING_CANONICAL_SOURCE,QUALIFIED_SOURCE,NG-FEAT-000010,production,SHARED_REFERENCE,REUSE_CANONICAL
featcand:nngla:d0ab8d453a0bb7af202bb5fd4c856172e30db38fcfefaad2045ddb0099c649d5,landform:novegeo:mountain:002,MOUNTAIN,dataset:novegeo:landforms,landform:novegeo:mountain:002,NATURAL,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,EXISTING_CANONICAL_SOURCE,QUALIFIED_SOURCE,NG-FEAT-000011,production,SHARED_REFERENCE,REUSE_CANONICAL
featcand:nngla:22b83cb664e382de86e26de49892bb6a782638da5fa3bd2f2f0bc79ab1ba4a59,landform:novegeo:mountain:003,MOUNTAIN,dataset:novegeo:landforms,landform:novegeo:mountain:003,NATURAL,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,EXISTING_CANONICAL_SOURCE,QUALIFIED_SOURCE,NG-FEAT-000012,production,SHARED_REFERENCE,REUSE_CANONICAL
featcand:nngla:245b6808adea0a9580bc48b361a67fcac79dec4dd85fa28be88ef5e6b1d2e7ad,landform:novegeo:valley:001,VALLEY,dataset:novegeo:landforms,landform:novegeo:valley:001,NATURAL,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,EXISTING_CANONICAL_SOURCE,QUALIFIED_SOURCE,NG-FEAT-000013,production,SHARED_REFERENCE,REUSE_CANONICAL
featcand:nngla:7d706f680fd0da15a0848b0a4c9d7f10e1985b9bb3f7fb0c1eae015d33e43166,landform:novegeo:valley:002,VALLEY,dataset:novegeo:landforms,landform:novegeo:valley:002,NATURAL,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,EXISTING_CANONICAL_SOURCE,QUALIFIED_SOURCE,NG-FEAT-000014,production,SHARED_REFERENCE,REUSE_CANONICAL
featcand:nngla:651fe4323888d435ddbec69609b9de6779fec8e5edb27fc48603e5a13e73abbd,landform:novegeo:valley:003,VALLEY,dataset:novegeo:landforms,landform:novegeo:valley:003,NATURAL,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,EXISTING_CANONICAL_SOURCE,QUALIFIED_SOURCE,NG-FEAT-000015,production,SHARED_REFERENCE,REUSE_CANONICAL
featcand:nngla:f0d363151b54555b47cb305e530d86a90dbc839e3f4c044362ea8f505e3ef90f,landform:novegeo:plain:001,PLAIN,dataset:novegeo:landforms,landform:novegeo:plain:001,NATURAL,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,EXISTING_CANONICAL_SOURCE,QUALIFIED_SOURCE,NG-FEAT-000016,production,SHARED_REFERENCE,REUSE_CANONICAL
featcand:nngla:c7c37276b0d083274169af65be4684cce8c98a5b9fe9cef8963bbeacf638bda7,landform:novegeo:plain:002,PLAIN,dataset:novegeo:landforms,landform:novegeo:plain:002,NATURAL,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,EXISTING_CANONICAL_SOURCE,QUALIFIED_SOURCE,NG-FEAT-000017,production,SHARED_REFERENCE,REUSE_CANONICAL
featcand:nngla:b01e713969094b8af5178f093cae25b176985bac5a5a0863d9a2b8839ba919a8,landform:novegeo:plain:003,PLAIN,dataset:novegeo:landforms,landform:novegeo:plain:003,NATURAL,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,EXISTING_CANONICAL_SOURCE,QUALIFIED_SOURCE,NG-FEAT-000018,production,SHARED_REFERENCE,REUSE_CANONICAL
featcand:nngla:8bb125c7188010a2bccb15d6c965030c8d4967558c711302db77d6c33ee953f1,landform:novegeo:plateau:001,PLATEAU,dataset:novegeo:landforms,landform:novegeo:plateau:001,NATURAL,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,EXISTING_CANONICAL_SOURCE,QUALIFIED_SOURCE,NG-FEAT-000019,production,SHARED_REFERENCE,REUSE_CANONICAL
featcand:nngla:367677ff40dd5d2722f2fdcb499ed96c798fbe65dca0d67f1d27f8a300535b7d,landform:novegeo:plateau:002,PLATEAU,dataset:novegeo:landforms,landform:novegeo:plateau:002,NATURAL,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,EXISTING_CANONICAL_SOURCE,QUALIFIED_SOURCE,NG-FEAT-000020,production,SHARED_REFERENCE,REUSE_CANONICAL
featcand:nngla:ffc1b7ed0e5f238743b7c5ff003266969e071cf4770e08d105d9ffd9d5df2fe7,landform:novegeo:plateau:003,PLATEAU,dataset:novegeo:landforms,landform:novegeo:plateau:003,NATURAL,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,EXISTING_CANONICAL_SOURCE,QUALIFIED_SOURCE,NG-FEAT-000021,production,SHARED_REFERENCE,REUSE_CANONICAL
featcand:nngla:466b01b578d65940a26dc6fada3380776f8e18cb44a8dd9b7d93f8b242608c0b,NG-ISLAND-PHYS-000001,ISLAND,dataset:novegeo:world-boundary:offshore-islands:v001,NG-ISLAND-PHYS-000001,NATURAL,polygon-02,QUALIFIED_SOURCE_POLYGON,QUALIFIED_SOURCE,,production,SHARED_REFERENCE,QUALIFIED_PENDING_PRODUCTION_RECOGNITION
featcand:nngla:2a76946fae2f89fb1a034eb3f0491f0253e9682e2ec688b00730cab3e16b7814,NG-ISLAND-PHYS-000002,ISLAND,dataset:novegeo:world-boundary:offshore-islands:v001,NG-ISLAND-PHYS-000002,NATURAL,polygon-03,QUALIFIED_SOURCE_POLYGON,QUALIFIED_SOURCE,,production,SHARED_REFERENCE,QUALIFIED_PENDING_PRODUCTION_RECOGNITION
featcand:nngla:30bc01b58317add3ff0b905d328b882fa2c082072c1a68346adca1ecfd570eff,NG-ISLAND-PHYS-000003,ISLAND,dataset:novegeo:world-boundary:offshore-islands:v001,NG-ISLAND-PHYS-000003,NATURAL,polygon-04,QUALIFIED_SOURCE_POLYGON,QUALIFIED_SOURCE,,production,SHARED_REFERENCE,QUALIFIED_PENDING_PRODUCTION_RECOGNITION
featcand:nngla:f0f33d973cd35a5fd2a0d2504b68ad4e804fe7496d73fd34ed30151f36fcbcf9,NG-ISLAND-PHYS-000004,ISLAND,dataset:novegeo:world-boundary:offshore-islands:v001,NG-ISLAND-PHYS-000004,NATURAL,polygon-05,QUALIFIED_SOURCE_POLYGON,QUALIFIED_SOURCE,,production,SHARED_REFERENCE,QUALIFIED_PENDING_PRODUCTION_RECOGNITION
featcand:nngla:856008c8952a8727a97e6a93f2c8ffe7ce19ae2173903c3f5966f3b9ab66362c,NG-ISLAND-PHYS-000005,ISLAND,dataset:novegeo:world-boundary:offshore-islands:v001,NG-ISLAND-PHYS-000005,NATURAL,polygon-06,QUALIFIED_SOURCE_POLYGON,QUALIFIED_SOURCE,,production,SHARED_REFERENCE,QUALIFIED_PENDING_PRODUCTION_RECOGNITION
featcand:nngla:ad47dd83866988f71363bdcb93803d8082d152291fc49efe5594dbd7735f6715,NG-BAY-CAND-000001,BAY,dataset:novegeo:world-boundary:feature-reserves:v001,NG-BAY-CAND-000001,NATURAL,polygon-01,SOURCE_RESERVED_SECTOR_PENDING_PHYSICAL_GEOMETRY_EXTRACTION,PENDING_FEATURE_EXTRACTION,,production,SHARED_REFERENCE,DEFERRED_PENDING_PHYSICAL_GEOMETRY
featcand:nngla:c703028de20598dbe6c18d84aecb132d0259ecc6a7b6bb1f0b1682b805aa15b4,NG-BAY-CAND-000002,BAY,dataset:novegeo:world-boundary:feature-reserves:v001,NG-BAY-CAND-000002,NATURAL,polygon-01,SOURCE_RESERVED_SECTOR_PENDING_PHYSICAL_GEOMETRY_EXTRACTION,PENDING_FEATURE_EXTRACTION,,production,SHARED_REFERENCE,DEFERRED_PENDING_PHYSICAL_GEOMETRY
featcand:nngla:94a6b95778e50ad21ecc0c43ee631e14f3e1d3167904fed915fde4f8f352b341,NG-BAY-CAND-000003,BAY,dataset:novegeo:world-boundary:feature-reserves:v001,NG-BAY-CAND-000003,NATURAL,polygon-01,SOURCE_RESERVED_SECTOR_PENDING_PHYSICAL_GEOMETRY_EXTRACTION,PENDING_FEATURE_EXTRACTION,,production,SHARED_REFERENCE,DEFERRED_PENDING_PHYSICAL_GEOMETRY
featcand:nngla:527160120e45bc5d72b6e74d18d0da17ef884f04ed491e362d5bc27b731192d6,NG-BCH-CAND-000001,BEACH,dataset:novegeo:world-boundary:feature-reserves:v001,NG-BCH-CAND-000001,NATURAL,polygon-01,SOURCE_RESERVED_SECTOR_PENDING_PHYSICAL_GEOMETRY_EXTRACTION,PENDING_FEATURE_EXTRACTION,,production,SHARED_REFERENCE,DEFERRED_PENDING_PHYSICAL_GEOMETRY
featcand:nngla:5dd1844f975bef0c601caf8bf8216fbe6752a956ab7ab0f03c41c5776f3a356f,NG-BCH-CAND-000002,BEACH,dataset:novegeo:world-boundary:feature-reserves:v001,NG-BCH-CAND-000002,NATURAL,polygon-01,SOURCE_RESERVED_SECTOR_PENDING_PHYSICAL_GEOMETRY_EXTRACTION,PENDING_FEATURE_EXTRACTION,,production,SHARED_REFERENCE,DEFERRED_PENDING_PHYSICAL_GEOMETRY
featcand:nngla:e52f407f40e5e1f2e38d4e37cc5be886dbc13e62f751a36d4fce37b0d5ba7a90,NG-CAPE-CAND-000001,CAPE,dataset:novegeo:world-boundary:feature-reserves:v001,NG-CAPE-CAND-000001,NATURAL,polygon-01,SOURCE_RESERVED_SECTOR_PENDING_PHYSICAL_GEOMETRY_EXTRACTION,PENDING_FEATURE_EXTRACTION,,production,SHARED_REFERENCE,DEFERRED_PENDING_PHYSICAL_GEOMETRY
featcand:nngla:ec386dc60c8705effc40d736166199d308e2a58f3a15af329f23f2d543e97204,NG-CAPE-CAND-000002,CAPE,dataset:novegeo:world-boundary:feature-reserves:v001,NG-CAPE-CAND-000002,NATURAL,polygon-01,SOURCE_RESERVED_SECTOR_PENDING_PHYSICAL_GEOMETRY_EXTRACTION,PENDING_FEATURE_EXTRACTION,,production,SHARED_REFERENCE,DEFERRED_PENDING_PHYSICAL_GEOMETRY
featcand:nngla:16eb87a6aeb19e615da3a78fde6644b434c2595ac3267b842f90dde218d907f8,NG-CLF-CAND-000001,CLIFF,dataset:novegeo:world-boundary:feature-reserves:v001,NG-CLF-CAND-000001,NATURAL,polygon-01,SOURCE_RESERVED_SECTOR_PENDING_PHYSICAL_GEOMETRY_EXTRACTION,PENDING_FEATURE_EXTRACTION,,production,SHARED_REFERENCE,DEFERRED_PENDING_PHYSICAL_GEOMETRY
