coordinate_occurrence_id,coordinate_candidate_id,crosswalk_basis,crosswalk_status
coordocc:nngla:05812dfd222ecd704986f4963c2003cde85322352bfa9c706a4467f7e5340c4e,coordcand:nngla:b1bffb317f791c4f6e39a19bd4c9d3b67952a4b677d8fbb361d2a4d73d83007f,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:ad7f3028b279fdb31edde977c8aee313c53ebea0aa5c901db14533560fcf4feb,coordcand:nngla:57409d906620fc5e6a0a6598708535927a8b26bf62ae11230bbacc3fb8ae99f8,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:f3fed2c3662e53001db5a80b131889bdf2cf31969f9b85214310ac92bb8d2ac1,coordcand:nngla:da710db43c8e7b2b2a1341889fd7bd274452123fdc4d43054fa8ea090cc231ea,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:311eda330d01974e946397d3942905a1c6e94aa46eb0256c3bfa26c03d0212cf,coordcand:nngla:c1baebe0a395fea921b016edd26cd1e8ff0dd0b641052f5fa9c2cdcc36dfa45b,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:7fa6ceacda178ffbf9d33d0ea36281be39e9e63979a710dd5cbf5c5b8c1fdddd,coordcand:nngla:080237cce06171d598fb08234c31cec6efd4cf7bacca0486a8d32bc686c78032,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:a26f8dd2bb9a595ef68def135691d885c99d4e5eaed42de02abb3875924937cb,coordcand:nngla:a88098e374d0405324d8ab5b87b6836af8179a36d25cfa645feb6d72d53be7ee,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:1576de5a54819895a3dc1e51c57cdf3cade56f85340014767d697f3434c84b17,coordcand:nngla:998e7fbf7060b8b5ad584fe091996df03c5b895a8c1de7f88b046671a31e8b25,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:ea923fd270d6130f74cbfdd99f5d7984f6d0615691e1eb93f427f1ca7a024d3a,coordcand:nngla:b0fc1bc1bb03cff5a840b0bffb9bf38686080dabcdbf184c8fd6e17e4f935417,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:df19eafc21620423e27e151d3b5c7ddf864dce8275f3dbb00d7b3a1a8ff1a020,coordcand:nngla:d18298b4ef8e27f60e99a0a36aaffee3a14b820c132fd6bfc434a1c2a473910c,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:96f2f2fccbacc3ce45ab3d2c13b0514de8c944c018639bfc5273b7650537e2ae,coordcand:nngla:a948061136ac6b81ad073fab56d0834b8cbd9d5b6430660ef596e99e1063a1b2,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:53160619702927a62df2ccd45cf0d74818073d7f1aee9970865228310adcfcc9,coordcand:nngla:daeaef8846df549f139ed33036ba1d1ae170a9caec00529fef2847f2cf2362a4,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:cff55a3fbcf5a4b1020e2668e34aa62963424dd435313a20f3c4b318e9e1364b,coordcand:nngla:a5ea9349936879a70a56073adedc52d50a3f0496a11256329eea7117d5ddc491,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:81f5397ce2f57f446c3e00bd946ce622f4102111d07f366251901ded4bb68540,coordcand:nngla:60c237e5f136b7df18a27bab94e9839800c884386db6f742b83ea4fd4be700c6,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:13158ae93406de8784e03ffe1a661c457b0beffdf1440a985d45dd4da2271aa6,coordcand:nngla:50c2cf09a0429198af86f6f54796de964e430a54aadf41bc0f189e79326ff278,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:6d45ec4ec5d4f3ef0c58c26c35633d96892489c78bf2c645b3cf4d502a05d603,coordcand:nngla:0c1191ce3b826d0891f15720d52ce61754a787e6dcf59bb2d31c644e5cd00bb0,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
coordocc:nngla:52f5d0a898f40a514b819dbb24028adebd9e3829690c5640c63b1e89c3b08302,coordcand:nngla:9d04e94a72ecec5bb0629ec045c991661cc98660d08792bde44abea68e88a28f,EXACT_NUMERIC_COORDINATE_EQUIVALENCE,MATCHED
