contract_id,consumer_registry,reference_family,purpose_code,embedding_policy,privacy_policy,status
xreg:nngla:0001,CITIZEN,ADDRESS,RESIDENCE_SPATIAL_REFERENCE,REFERENCE_ONLY,REFERENCE_VISIBILITY_GOVERNED_BY_NNGLA,ACTIVE
xreg:nngla:0002,CITIZEN,ADDRESSABLE_SITE,RESIDENCE_SITE_REFERENCE,REFERENCE_ONLY,REFERENCE_VISIBILITY_GOVERNED_BY_NNGLA,ACTIVE
xreg:nngla:0003,BUSINESS,ADDRESS,OPERATING_ADDRESS,REFERENCE_ONLY,REFERENCE_VISIBILITY_GOVERNED_BY_NNGLA,ACTIVE
xreg:nngla:0004,BUSINESS,ADDRESSABLE_SITE,OPERATING_SITE,REFERENCE_ONLY,REFERENCE_VISIBILITY_GOVERNED_BY_NNGLA,ACTIVE
xreg:nngla:0005,BUSINESS,PARCEL,PREMISES_PARCEL_REFERENCE,REFERENCE_ONLY,REFERENCE_VISIBILITY_GOVERNED_BY_NNGLA,ACTIVE
xreg:nngla:0006,HEALTH,ADDRESSABLE_SITE,FACILITY_SITE,REFERENCE_ONLY,REFERENCE_VISIBILITY_GOVERNED_BY_NNGLA,ACTIVE
xreg:nngla:0007,HEALTH,PLACE,FACILITY_PLACE,REFERENCE_ONLY,REFERENCE_VISIBILITY_GOVERNED_BY_NNGLA,ACTIVE
xreg:nngla:0008,HEALTH,ADMINISTRATIVE_AREA,SERVICE_JURISDICTION,REFERENCE_ONLY,REFERENCE_VISIBILITY_GOVERNED_BY_NNGLA,ACTIVE
xreg:nngla:0009,SCHOOL,ADDRESSABLE_SITE,CAMPUS_SITE,REFERENCE_ONLY,REFERENCE_VISIBILITY_GOVERNED_BY_NNGLA,ACTIVE
xreg:nngla:0010,SCHOOL,PLACE,CAMPUS_PLACE,REFERENCE_ONLY,REFERENCE_VISIBILITY_GOVERNED_BY_NNGLA,ACTIVE
xreg:nngla:0011,MONETARY,PARCEL,COLLATERAL_SPATIAL_REFERENCE,REFERENCE_ONLY,REFERENCE_VISIBILITY_GOVERNED_BY_NNGLA,ACTIVE
xreg:nngla:0012,TRANSPORT,ROAD,NETWORK_ROAD_REFERENCE,REFERENCE_ONLY,REFERENCE_VISIBILITY_GOVERNED_BY_NNGLA,ACTIVE
xreg:nngla:0013,PROPERTY,PARCEL,PROPERTY_PARCEL_REFERENCE,REFERENCE_ONLY,REFERENCE_VISIBILITY_GOVERNED_BY_NNGLA,ACTIVE
xreg:nngla:0014,NEXAPOS,ADDRESSABLE_SITE,OUTLET_SITE,REFERENCE_ONLY,REFERENCE_VISIBILITY_GOVERNED_BY_NNGLA,ACTIVE
xreg:nngla:0015,NEXILABS_SIMULATION,GEOGRAPHIC_FEATURE,WORLD_FEATURE_REFERENCE,REFERENCE_ONLY,REFERENCE_VISIBILITY_GOVERNED_BY_NNGLA,ACTIVE
