link_id,candidate_id,observation_type,source_dataset_id,source_record_id,source_path_reference,source_sha256,evidence_status
featobs:nngla:cba5c3ec162f21d78442093956f4b16e85238d90fa4678216fa4863cde631a60,featcand:nngla:d158989b0d5a29486c441409fca588bacedce80d3f7f0f1fb72f4db25ec73f42,EXISTING_CANONICAL_SOURCE,dataset:novegeo:world-boundary,boundary-part:1,data/novegeo/geography/world-boundary/candidate/novegeo_world_boundary_v002.geojson,,QUALIFIED_SOURCE
featobs:nngla:8284ee5ed18f0dbb95f236cc3e7571bbe1b201b088837f9759c79454dd96913e,featcand:nngla:0c42f74ab8312274faef09c2763d6c7bf38b732f61d94b9d49fda827994fbdb9,EXISTING_CANONICAL_SOURCE,dataset:novegeo:hydrology:surface-water,river:novegeo:r000001,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,,QUALIFIED_SOURCE
featobs:nngla:af262f122579ae47083cbb496aebfe7ac8da0944ba6bcea0ca82c41b0c59980e,featcand:nngla:3a5c1d2e25dc178b1e5f73cebfe665ff1512f6987490b55728ca316ca4578000,EXISTING_CANONICAL_SOURCE,dataset:novegeo:hydrology:surface-water,river:novegeo:r000002,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,,QUALIFIED_SOURCE
featobs:nngla:35980b110e07238215edd3347023ffbfdcd8b9b2cdd74bd1a14cbca5dbcefdd0,featcand:nngla:b77678b0301a9b84a62673590d4647a2477134c48708e79e92951664d8abb5fb,EXISTING_CANONICAL_SOURCE,dataset:novegeo:hydrology:surface-water,river:novegeo:r000003,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,,QUALIFIED_SOURCE
featobs:nngla:3ebfeae67d6b3d8d48705525dd78273f0286dd2d2ec450ebf00ef9130b054ea0,featcand:nngla:b1102c99c4b80bb5c7d161e27d80f29be0336eb7f3436156a75d07b4d1126df7,EXISTING_CANONICAL_SOURCE,dataset:novegeo:hydrology:surface-water,river:novegeo:r000004,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,,QUALIFIED_SOURCE
featobs:nngla:c72b523dace5bca5222b0da19bcf2b8b8f36e050048be61f4546edaa1a3fd1f9,featcand:nngla:30061e846f6651b09280838e93d5644c51236662c7312a4e73eb4a4975da9afc,EXISTING_CANONICAL_SOURCE,dataset:novegeo:hydrology:surface-water,river:novegeo:r000005,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,,QUALIFIED_SOURCE
featobs:nngla:a74da3b0b405ee0adeb570f267e9c68a748c8cd051e6b8a67f90940e34ee409d,featcand:nngla:46bee1f1387b08be715ccc02a8304114536974b6852c72999a6db05f6f1def21,EXISTING_CANONICAL_SOURCE,dataset:novegeo:hydrology:surface-water,lake:novegeo:l000001,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,,QUALIFIED_SOURCE
featobs:nngla:4c341338663626b47cdc5375b347bcb2d4052c78efb3844b7f6860e76975421d,featcand:nngla:8eeb8d0137143008570b3154b966dfae652266e6f017b1e73fe8f4cf2391155e,EXISTING_CANONICAL_SOURCE,dataset:novegeo:hydrology:surface-water,lake:novegeo:l000002,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,,QUALIFIED_SOURCE
featobs:nngla:b471d3d02125949c515f4b975e21ee2b49e839681b913f63604499e84d2f8629,featcand:nngla:91525be91edd0fd662c2c0582818f5dbb18ff51d3c8a98a36de1c26f3db5b9d3,EXISTING_CANONICAL_SOURCE,dataset:novegeo:hydrology:surface-water,lake:novegeo:l000003,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,,QUALIFIED_SOURCE
featobs:nngla:78aed76cf6b228bdc1416bfdf78b91ca4181ae1fca9b670a68e76cfbd147a1cd,featcand:nngla:8faaaa66ba2e7665e2e1ec5ba5a2527f938cd90dd3b497fd18429a43c8253c9a,EXISTING_CANONICAL_SOURCE,dataset:novegeo:landforms,landform:novegeo:mountain:001,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,,QUALIFIED_SOURCE
