geometry_assignment_candidate_id,coordinate_candidate_id,canonical_spatial_point_id,geometry_id,geometry_role_code,geometry_type_code,longitude,latitude,crs_code,source_sha256,geometry_payload_sha256,valid_from,valid_to,supersedes_geometry_id,assignment_status,runtime_effect_scope
geoassign:nngla:ac51e521aac2d81c7e961d54fb292fba841960643a31ecfd9fbf2addc0252056,coordcand:nngla:b1bffb317f791c4f6e39a19bd4c9d3b67952a4b677d8fbb361d2a4d73d83007f,NG-SPT-000001,NG-GEO-000022,SPATIAL_REFERENCE_POINT,POINT,35.14,-7.507467,NG-CRS-EPSG4326,42bb05b25f96d32e3a31463bf30551656308497e561b4c2ea17f7cc1f1cde0d5,d88bb87aa076370f1cc4846fc719c52f2a0e6b5b7edff12e6b7986186efa2c6a,2026-08-17,,,QUALIFIED_CANDIDATE,SHARED_REFERENCE
geoassign:nngla:41dfa31bc46d1a64df86d1c2039995e171974720e36c9dad4365ba1dede99772,coordcand:nngla:2bcb36a40983a376f738e44d5925d3e557b363ee6dd50af0de6d3c0a5d582116,NG-SPT-000002,NG-GEO-000023,SPATIAL_REFERENCE_POINT,POINT,35.56,-7.507467,NG-CRS-EPSG4326,42bb05b25f96d32e3a31463bf30551656308497e561b4c2ea17f7cc1f1cde0d5,d19bddd760af3e97d3db3ed062abd1d6862d08695201ad1da71cb75ed9814e8b,2026-08-17,,,QUALIFIED_CANDIDATE,SHARED_REFERENCE
geoassign:nngla:f376f1ae10c6324096f308c16cbbf9fbfacc0ba0e6f8912b926f9db7f804c7d7,coordcand:nngla:81aec24c2e7e2bf35b1c5ad6c4e5c38999e76d2cecae1164bab44ad86049db69,NG-SPT-000003,NG-GEO-000024,SPATIAL_REFERENCE_POINT,POINT,35.98,-7.507467,NG-CRS-EPSG4326,42bb05b25f96d32e3a31463bf30551656308497e561b4c2ea17f7cc1f1cde0d5,aa8f0efb0158b359f76a61346afee147359ec332e4fccb665f78913e4f69ce36,2026-08-17,,,QUALIFIED_CANDIDATE,SHARED_REFERENCE
geoassign:nngla:bdf17d16363012d5c9839e961395d5d9859565e6a034f67bcf6bd71ac68dcd1d,coordcand:nngla:10214c84d7b7de094f614b861c10437d5c6949e99340bc9ac6c804b44a16a377,NG-SPT-000004,NG-GEO-000025,SPATIAL_REFERENCE_POINT,POINT,36.4,-7.507467,NG-CRS-EPSG4326,42bb05b25f96d32e3a31463bf30551656308497e561b4c2ea17f7cc1f1cde0d5,eba9f5eece7991e97087b18e3c8665f10da14775ee02a08e297ac3b4cbbc2ce4,2026-08-17,,,QUALIFIED_CANDIDATE,SHARED_REFERENCE
geoassign:nngla:ba3d2a1392b0e5b5523b301e2e6085c2b226eb164fdd2156b29a374fdbab1581,coordcand:nngla:57409d906620fc5e6a0a6598708535927a8b26bf62ae11230bbacc3fb8ae99f8,NG-SPT-000005,NG-GEO-000026,SPATIAL_REFERENCE_POINT,POINT,36.82,-7.507467,NG-CRS-EPSG4326,42bb05b25f96d32e3a31463bf30551656308497e561b4c2ea17f7cc1f1cde0d5,5be27364e20733cc54b6726bebaffd090a7cd76a1984b101ddd127e734c8d3d5,2026-08-17,,,QUALIFIED_CANDIDATE,SHARED_REFERENCE
geoassign:nngla:d70abcc4249d6c5b9dd8258f983e4fa37eb953620c9fe11b52df66c05b12ba88,coordcand:nngla:5734a3cf5723e5b55f146884bcf22a6774dd8b140d6bd7e57f25e7a91551e92c,NG-SPT-000006,NG-GEO-000027,SPATIAL_REFERENCE_POINT,POINT,37.24,-7.507467,NG-CRS-EPSG4326,42bb05b25f96d32e3a31463bf30551656308497e561b4c2ea17f7cc1f1cde0d5,ace752df6c0981617f64506897bb5776d36dc3699e1a71d66ec4f5d1be53d674,2026-08-17,,,QUALIFIED_CANDIDATE,SHARED_REFERENCE
geoassign:nngla:0298853b66b9084e1f3211a918569adb8d5e513cb77b0d8fa9961d95c0590bc6,coordcand:nngla:e60b7b147ad4e8bb8683eaea08d50a974776d9a01d9343f23f6bc4b7e4f8147c,NG-SPT-000007,NG-GEO-000028,SPATIAL_REFERENCE_POINT,POINT,37.66,-7.507467,NG-CRS-EPSG4326,42bb05b25f96d32e3a31463bf30551656308497e561b4c2ea17f7cc1f1cde0d5,c87d37dcd04bb5d310de0209c65009c9d2ec07e874e74bf1c6a555eeecf67122,2026-08-17,,,QUALIFIED_CANDIDATE,SHARED_REFERENCE
geoassign:nngla:6cbcf37babcdb9f573e88bc3dc5fbe9d233175d31a94020de3e8e76355964e6b,coordcand:nngla:b0fd96316927c097045d6941adfb96b0f5919e3f5af03736294dc2b7c8965258,NG-SPT-000008,NG-GEO-000029,SPATIAL_REFERENCE_POINT,POINT,38.08,-7.507467,NG-CRS-EPSG4326,42bb05b25f96d32e3a31463bf30551656308497e561b4c2ea17f7cc1f1cde0d5,77ca2719b15f0e79b879ac1f76d36bb440ea27bd2c7966adc19a65257558c8eb,2026-08-17,,,QUALIFIED_CANDIDATE,SHARED_REFERENCE
geoassign:nngla:dee80c93f5083bdaea9690457dade16dfa5659c21d5873e7b2a9f6382d4c0a80,coordcand:nngla:da710db43c8e7b2b2a1341889fd7bd274452123fdc4d43054fa8ea090cc231ea,NG-SPT-000009,NG-GEO-000030,SPATIAL_REFERENCE_POINT,POINT,38.5,-7.507467,NG-CRS-EPSG4326,42bb05b25f96d32e3a31463bf30551656308497e561b4c2ea17f7cc1f1cde0d5,1e3622bf328afa5584eaced5dd8102e96e46d2bacdcc1f60694fb3a8e45bca0a,2026-08-17,,,QUALIFIED_CANDIDATE,SHARED_REFERENCE
geoassign:nngla:378fe1c069aaee4ded054694f5fe49bfaf8b103f6c5717ed83e60da65cbf19cc,coordcand:nngla:d35b2631600390f871be6c3509f7eeb99f794c63217fe69035fd1b42d4a91739,NG-SPT-000010,NG-GEO-000031,SPATIAL_REFERENCE_POINT,POINT,33.46,-7.087467,NG-CRS-EPSG4326,42bb05b25f96d32e3a31463bf30551656308497e561b4c2ea17f7cc1f1cde0d5,84e31067683d8f1c036d5daaa8f5f3eefe4764808759d8f3c2b0893f26c2a32c,2026-08-17,,,QUALIFIED_CANDIDATE,SHARED_REFERENCE
geoassign:nngla:cbcb1312e30e646e55692645b5911d79c18ffeb114e8202dd8294be5a8db9ab0,coordcand:nngla:84bda2e5834c26c989cf7f59b48ebd4fdf479bd661f215507d3b186f95ea0491,NG-SPT-000011,NG-GEO-000032,SPATIAL_REFERENCE_POINT,POINT,33.88,-7.087467,NG-CRS-EPSG4326,42bb05b25f96d32e3a31463bf30551656308497e561b4c2ea17f7cc1f1cde0d5,7f4197f70cb7a9ab2a83f7da24c806198f33c14d89e526f0d13db4721c46f5b3,2026-08-17,,,QUALIFIED_CANDIDATE,SHARED_REFERENCE
