environment_binding_id,spatial_point_id,spatial_cell_id,coordinate_candidate_id,major_grid_id,sovereign_part_id,elevation_observation_id,elevation_m,elevation_evidence_type,terrain_class,terrain_evidence_type,climate_observation_id,climate_resolution_distance_degrees,annual_rainfall_mm,mean_temperature_c,mean_wind_speed_mps,prevailing_wind_direction_deg,climate_class,climate_evidence_type,vegetation_observation_id,vegetation_resolution_distance_degrees,vegetation_class,aridity_class,vegetation_evidence_type,hydrology_reference_id,hydrology_evidence_type,environment_resolution_status,runtime_effect_scope
NG-ENV-BIND-000001,NG-SPT-000001,NG-SCELL-000001,coordcand:nngla:b1bffb317f791c4f6e39a19bd4c9d3b67952a4b677d8fbb361d2a4d73d83007f,NG-MGRID-04-03,NG-SOV-PART-000001,NG-ELEV-OBS-000001,341,DIRECT_SOURCE_OBSERVATION,VALLEY,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000001,0,559,25.6,4.8,38,DRY_SUBHUMID,DIRECT_SOURCE_OBSERVATION,NG-VEG-OBS-000001,0,ARID_SURFACE,ARID,DIRECT_SOURCE_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000002,NG-SPT-000002,NG-SCELL-000002,coordcand:nngla:2bcb36a40983a376f738e44d5925d3e557b363ee6dd50af0de6d3c0a5d582116,NG-MGRID-04-03,NG-SOV-PART-000001,NG-ELEV-OBS-000002,349,DIRECT_SOURCE_OBSERVATION,VALLEY,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000001,0.42,559,25.6,4.8,38,DRY_SUBHUMID,NEAREST_QUALIFIED_OBSERVATION,NG-VEG-OBS-000001,0.42,ARID_SURFACE,ARID,NEAREST_QUALIFIED_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000003,NG-SPT-000003,NG-SCELL-000003,coordcand:nngla:81aec24c2e7e2bf35b1c5ad6c4e5c38999e76d2cecae1164bab44ad86049db69,NG-MGRID-04-03,NG-SOV-PART-000001,NG-ELEV-OBS-000003,355,DIRECT_SOURCE_OBSERVATION,VALLEY,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000005,0.593969696,570,25.1,4.7,44,DRY_SUBHUMID,NEAREST_QUALIFIED_OBSERVATION,NG-VEG-OBS-000005,0.593969696,ARID_SURFACE,ARID,NEAREST_QUALIFIED_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000004,NG-SPT-000004,NG-SCELL-000004,coordcand:nngla:10214c84d7b7de094f614b861c10437d5c6949e99340bc9ac6c804b44a16a377,NG-MGRID-04-03,NG-SOV-PART-000001,NG-ELEV-OBS-000004,360,DIRECT_SOURCE_OBSERVATION,VALLEY,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000002,0.42,562,25.4,4.8,43,DRY_SUBHUMID,NEAREST_QUALIFIED_OBSERVATION,NG-VEG-OBS-000002,0.42,ARID_SURFACE,ARID,NEAREST_QUALIFIED_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000005,NG-SPT-000005,NG-SCELL-000005,coordcand:nngla:57409d906620fc5e6a0a6598708535927a8b26bf62ae11230bbacc3fb8ae99f8,NG-MGRID-04-03,NG-SOV-PART-000001,NG-ELEV-OBS-000005,366,DIRECT_SOURCE_OBSERVATION,VALLEY,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000002,0,562,25.4,4.8,43,DRY_SUBHUMID,DIRECT_SOURCE_OBSERVATION,NG-VEG-OBS-000002,0,ARID_SURFACE,ARID,DIRECT_SOURCE_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000006,NG-SPT-000006,NG-SCELL-000006,coordcand:nngla:5734a3cf5723e5b55f146884bcf22a6774dd8b140d6bd7e57f25e7a91551e92c,NG-MGRID-04-03,NG-SOV-PART-000001,NG-ELEV-OBS-000006,373,DIRECT_SOURCE_OBSERVATION,VALLEY,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000002,0.42,562,25.4,4.8,43,DRY_SUBHUMID,NEAREST_QUALIFIED_OBSERVATION,NG-VEG-OBS-000002,0.42,ARID_SURFACE,ARID,NEAREST_QUALIFIED_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000007,NG-SPT-000007,NG-SCELL-000007,coordcand:nngla:e60b7b147ad4e8bb8683eaea08d50a974776d9a01d9343f23f6bc4b7e4f8147c,NG-MGRID-04-03,NG-SOV-PART-000001,NG-ELEV-OBS-000007,381,DIRECT_SOURCE_OBSERVATION,PLAIN,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000006,0.593969696,575,24.8,5.1,49,DRY_SUBHUMID,NEAREST_QUALIFIED_OBSERVATION,NG-VEG-OBS-000006,0.593969696,ARID_SURFACE,ARID,NEAREST_QUALIFIED_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000008,NG-SPT-000008,NG-SCELL-000008,coordcand:nngla:b0fd96316927c097045d6941adfb96b0f5919e3f5af03736294dc2b7c8965258,NG-MGRID-04-03,NG-SOV-PART-000001,NG-ELEV-OBS-000008,387,DIRECT_SOURCE_OBSERVATION,PLAIN,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000003,0.42,564,25.3,5.2,48,DRY_SUBHUMID,NEAREST_QUALIFIED_OBSERVATION,NG-VEG-OBS-000003,0.42,ARID_SURFACE,ARID,NEAREST_QUALIFIED_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000009,NG-SPT-000009,NG-SCELL-000009,coordcand:nngla:da710db43c8e7b2b2a1341889fd7bd274452123fdc4d43054fa8ea090cc231ea,NG-MGRID-04-03,NG-SOV-PART-000001,NG-ELEV-OBS-000009,390,DIRECT_SOURCE_OBSERVATION,PLAIN,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000003,0,564,25.3,5.2,48,DRY_SUBHUMID,DIRECT_SOURCE_OBSERVATION,NG-VEG-OBS-000003,0,ARID_SURFACE,ARID,DIRECT_SOURCE_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
NG-ENV-BIND-000010,NG-SPT-000010,NG-SCELL-000010,coordcand:nngla:d35b2631600390f871be6c3509f7eeb99f794c63217fe69035fd1b42d4a91739,NG-MGRID-04-02,NG-SOV-PART-000001,NG-ELEV-OBS-000010,334,DIRECT_SOURCE_OBSERVATION,PLAIN,DIRECT_SOURCE_OBSERVATION,NG-CLIM-OBS-000008,0.593969696,563,25.6,5.1,36,DRY_SUBHUMID,NEAREST_QUALIFIED_OBSERVATION,NG-VEG-OBS-000008,0.593969696,ARID_SURFACE,ARID,NEAREST_QUALIFIED_OBSERVATION,,NOT_AVAILABLE,PASS,SHARED_REFERENCE
