relationship_evidence_id,subject_family,subject_type,subject_id,subject_geometry_reference,relationship_type_code,object_family,object_type,object_id,spatial_reference_id,coordinate_candidate_id,evidence_class,evidence_reference,relationship_basis,distance_value,distance_unit,valid_from,valid_to,qualification_status,runtime_effect_scope,notes
sprel:nngla:ba3590343f0de98c5a184e59d05db5ccf817c5aa3a3eec96ac89f3790e87654e,NATURAL_FEATURE,MOUNTAIN,NG-MTN-CAND-000001,landform:novegeo:mountain:001,WITHIN,SOVEREIGN_GROUND,SOVEREIGN_PART,NG-SOV-PART-000001,coordcand:nngla:8fbabf376c261ab6b82b4746e30a4217f16f6010c6fce3516d16ae1022d394ac,coordcand:nngla:8fbabf376c261ab6b82b4746e30a4217f16f6010c6fce3516d16ae1022d394ac,QUALIFIED_REFERENCE_POINT,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_mountain_candidates_v001.csv#NG-MTN-CAND-000001,BUNDLE17B_ACTUAL_BOUNDARY_CONTAINMENT_AT_QUALIFIED_REFERENCE_POINT,,,,,PASS,SHARED_REFERENCE,Reference-point occupancy does not assert the full physical feature extent.
sprel:nngla:f99ee66f396c55ac7a70b81b4f101ba8ae0eed643b11cf08cd0bffeb981297d9,NATURAL_FEATURE,MOUNTAIN,NG-MTN-CAND-000002,landform:novegeo:mountain:002,WITHIN,SOVEREIGN_GROUND,SOVEREIGN_PART,NG-SOV-PART-000001,coordcand:nngla:1ebe3135e7a801613ae074f8bea9d906b08bb35d9795a6033b28e25e17dc7947,coordcand:nngla:1ebe3135e7a801613ae074f8bea9d906b08bb35d9795a6033b28e25e17dc7947,QUALIFIED_REFERENCE_POINT,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_mountain_candidates_v001.csv#NG-MTN-CAND-000002,BUNDLE17B_ACTUAL_BOUNDARY_CONTAINMENT_AT_QUALIFIED_REFERENCE_POINT,,,,,PASS,SHARED_REFERENCE,Reference-point occupancy does not assert the full physical feature extent.
sprel:nngla:9e51b15c33badb2f7adb052e3ba60af25f2b8ed6a28508644130e460e0d6a187,NATURAL_FEATURE,MOUNTAIN,NG-MTN-CAND-000003,landform:novegeo:mountain:003,WITHIN,SOVEREIGN_GROUND,SOVEREIGN_PART,NG-SOV-PART-000001,coordcand:nngla:c24b7ac12858692f9797320327ab3c033a02024590a587ef6e4f396b98c7ecc8,coordcand:nngla:c24b7ac12858692f9797320327ab3c033a02024590a587ef6e4f396b98c7ecc8,QUALIFIED_REFERENCE_POINT,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_mountain_candidates_v001.csv#NG-MTN-CAND-000003,BUNDLE17B_ACTUAL_BOUNDARY_CONTAINMENT_AT_QUALIFIED_REFERENCE_POINT,,,,,PASS,SHARED_REFERENCE,Reference-point occupancy does not assert the full physical feature extent.
sprel:nngla:81cb7ccedf8d73f6c5120731afed33dfdb11572050793f11a198a27029c70c99,NATURAL_FEATURE,VALLEY,NG-VAL-CAND-000001,landform:novegeo:valley:001,WITHIN,SOVEREIGN_GROUND,SOVEREIGN_PART,NG-SOV-PART-000001,coordcand:nngla:52b45516b7f1f3e8dd9882545423ca6f74dbe6c732607aa36e795c86855de71f,coordcand:nngla:52b45516b7f1f3e8dd9882545423ca6f74dbe6c732607aa36e795c86855de71f,QUALIFIED_REFERENCE_POINT,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_valley_candidates_v001.csv#NG-VAL-CAND-000001,BUNDLE17B_ACTUAL_BOUNDARY_CONTAINMENT_AT_QUALIFIED_REFERENCE_POINT,,,,,PASS,SHARED_REFERENCE,Reference-point occupancy does not assert the full physical feature extent.
sprel:nngla:36340323438d287bb004f68cb55ed3b980b494e07aaa9d1ba05ee974a48129ba,NATURAL_FEATURE,VALLEY,NG-VAL-CAND-000002,landform:novegeo:valley:002,WITHIN,SOVEREIGN_GROUND,SOVEREIGN_PART,NG-SOV-PART-000001,coordcand:nngla:b1bffb317f791c4f6e39a19bd4c9d3b67952a4b677d8fbb361d2a4d73d83007f,coordcand:nngla:b1bffb317f791c4f6e39a19bd4c9d3b67952a4b677d8fbb361d2a4d73d83007f,QUALIFIED_REFERENCE_POINT,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_valley_candidates_v001.csv#NG-VAL-CAND-000002,BUNDLE17B_ACTUAL_BOUNDARY_CONTAINMENT_AT_QUALIFIED_REFERENCE_POINT,,,,,PASS,SHARED_REFERENCE,Reference-point occupancy does not assert the full physical feature extent.
sprel:nngla:5e7aa8eded43993172124fe97fa1b7bbff54e5422196d9f6fcea813d421d5e50,NATURAL_FEATURE,VALLEY,NG-VAL-CAND-000003,landform:novegeo:valley:003,WITHIN,SOVEREIGN_GROUND,SOVEREIGN_PART,NG-SOV-PART-000001,coordcand:nngla:540ee36985ca24a513cac9dcee51261a8929d3c88864441e7241fc50eb86c00a,coordcand:nngla:540ee36985ca24a513cac9dcee51261a8929d3c88864441e7241fc50eb86c00a,QUALIFIED_REFERENCE_POINT,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_valley_candidates_v001.csv#NG-VAL-CAND-000003,BUNDLE17B_ACTUAL_BOUNDARY_CONTAINMENT_AT_QUALIFIED_REFERENCE_POINT,,,,,PASS,SHARED_REFERENCE,Reference-point occupancy does not assert the full physical feature extent.
sprel:nngla:3bfad97ca1862c2847e0bb78e104ba43979c0e17ec523cf287c3f8c1c70b501f,NATURAL_FEATURE,PLATEAU,NG-PLT-CAND-000001,landform:novegeo:plateau:001,WITHIN,SOVEREIGN_GROUND,SOVEREIGN_PART,NG-SOV-PART-000001,coordcand:nngla:4c7d5d737085e09acda6c1dbbe572cf439ed25a401817c3c411d0e32427075c2,coordcand:nngla:4c7d5d737085e09acda6c1dbbe572cf439ed25a401817c3c411d0e32427075c2,QUALIFIED_REFERENCE_POINT,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_plateau_candidates_v001.csv#NG-PLT-CAND-000001,BUNDLE17B_ACTUAL_BOUNDARY_CONTAINMENT_AT_QUALIFIED_REFERENCE_POINT,,,,,PASS,SHARED_REFERENCE,Reference-point occupancy does not assert the full physical feature extent.
sprel:nngla:4d806b5af98e7e82d7ac02cbe947cd4c90b3ca127e291890b60f6900f33faca1,NATURAL_FEATURE,PLATEAU,NG-PLT-CAND-000002,landform:novegeo:plateau:002,WITHIN,SOVEREIGN_GROUND,SOVEREIGN_PART,NG-SOV-PART-000001,coordcand:nngla:9f0d04b6a3ec7b815bb652166c04da7aab902da1d49c3aad37acfef1f6b6c0de,coordcand:nngla:9f0d04b6a3ec7b815bb652166c04da7aab902da1d49c3aad37acfef1f6b6c0de,QUALIFIED_REFERENCE_POINT,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_plateau_candidates_v001.csv#NG-PLT-CAND-000002,BUNDLE17B_ACTUAL_BOUNDARY_CONTAINMENT_AT_QUALIFIED_REFERENCE_POINT,,,,,PASS,SHARED_REFERENCE,Reference-point occupancy does not assert the full physical feature extent.
sprel:nngla:ccd4555171f450b5e0eee7a6879452967c5a3c898d4e2821af41936a62d02003,NATURAL_FEATURE,PLATEAU,NG-PLT-CAND-000003,landform:novegeo:plateau:003,WITHIN,SOVEREIGN_GROUND,SOVEREIGN_PART,NG-SOV-PART-000001,coordcand:nngla:80e6dc391e1310327d74feb4b3d1db926a843338adb195ec5476d4a56151b829,coordcand:nngla:80e6dc391e1310327d74feb4b3d1db926a843338adb195ec5476d4a56151b829,QUALIFIED_REFERENCE_POINT,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_plateau_candidates_v001.csv#NG-PLT-CAND-000003,BUNDLE17B_ACTUAL_BOUNDARY_CONTAINMENT_AT_QUALIFIED_REFERENCE_POINT,,,,,PASS,SHARED_REFERENCE,Reference-point occupancy does not assert the full physical feature extent.
sprel:nngla:242e2b60f55a82fe018272b0342817e5fb24012d7b3e1b58d3d6a59f541e95c9,NATURAL_FEATURE,PLAIN,NG-PLN-CAND-000001,landform:novegeo:plain:001,WITHIN,SOVEREIGN_GROUND,SOVEREIGN_PART,NG-SOV-PART-000003,coordcand:nngla:a70fd74f6eb8adb1252933ccebac634c9dc20450fda7e5eeeb82aabd9e3c91c4,coordcand:nngla:a70fd74f6eb8adb1252933ccebac634c9dc20450fda7e5eeeb82aabd9e3c91c4,QUALIFIED_REFERENCE_POINT,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_plain_candidates_v001.csv#NG-PLN-CAND-000001,BUNDLE17B_ACTUAL_BOUNDARY_CONTAINMENT_AT_QUALIFIED_REFERENCE_POINT,,,,,PASS,SHARED_REFERENCE,Reference-point occupancy does not assert the full physical feature extent.
