migration_action_id,coordinate_candidate_id,canonical_spatial_point_id,planned_action,allocation_basis,identity_origin,requires_live_target_confirmation,existing_canonical_rows_destructively_updated,runtime_mode,effect_scope,status
spaction:nngla:ce230fd852cb2f56489646d521fdba0f97d06ec5ff6edc4b072379c895269ff2,coordcand:nngla:f278ba55142ad66b2eb1558f789118032feeaf55405f26ef7f73ec8010e483cb,NG-SPT-001105,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:761d51799009af1c8de83b687c34b3e65db686733d83b8a937c9c47378dbefde,coordcand:nngla:0dc430110cb84e245aea4b09a4f46cdf54fcd6022f1dcdf023be4552dfdf0486,NG-SPT-001106,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:d2ff6e354a0f4af6fba6a8d957e3706102d25de20ed750d83f770f624212fcde,coordcand:nngla:dbcecdf9b095fd1d9f3058b36dd61f817b5f6a93ece2c286028e9bf587990248,NG-SPT-001107,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:7268add318ffd5f345242ad75e1f9a1f1a63abc07d9960ff96a36e4ef1001cfd,coordcand:nngla:6608286abd0e81e16d6bd62aba3be0f083988370df4c2b930b839f49617d2d85,NG-SPT-001108,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:2cc78a0aab97804624161bc5956a88c76aac91c8ebbb0fd122ff464d1cdafd82,coordcand:nngla:452dfafc50d75c153119ebb3155d7d59d083c343d5cb90f3041750813aceacad,NG-SPT-001109,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:63a2d67fb3e34ba99ed336271a87d3b4b0b336e151fce89a296c85e333be6e01,coordcand:nngla:96470ec3899a6a857bab538ad80d7487a655b24e5e0147cd527f0ed78f82037a,NG-SPT-001110,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:7a9a5ef62a982b266efd473daa058fdb062dbce5a1a43340a1c5fcc5f98da964,coordcand:nngla:b8cb19a07562a99aaa56a3daf8f83091e1c64b72c3f2721ad67705f237cd68b8,NG-SPT-001111,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:5fababce4188315d775e1c2e28ad8434193c2622f7153c23e27cf67a86930e47,coordcand:nngla:d08bc74ea0caf53478428801872aa6888e641ef6fa3ead834944fcd055170975,NG-SPT-001112,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:3a01c15b24868a08e287e8c957c3e0d151bfdf315fdd9e2b0e29972cd011b047,coordcand:nngla:4be29949c6304e74be37dd5afe05fc478b8e0ed97ec8fa7d03e73bea54123365,NG-SPT-001113,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
spaction:nngla:ddf92bdec230c01af6c13d9cac44899964cd4404ab463f3cbf4e2dd1cb019bb9,coordcand:nngla:63ac3c1770ce4929c6beddaf34055a14267817791c1d607c5e43e55d2b1baa20,NG-SPT-001114,INSERT_NEW,DETERMINISTIC_APPEND_AFTER_EXISTING_GOVERNED_NG_SPT_RANGE,NEW_BUNDLE17E_ALLOCATION,true,false,production,SHARED_REFERENCE,PLANNED_NOT_EXECUTED
