scenario_id,allocator_family,parallel_requests,execution_basis,runtime_scope,expected_outcome,notes
address_id-1,ADDRESS_ID,1,MEMORY_CONTRACT,ISOLATED_TEST,ZERO_DUPLICATES,No live canonical writes.
address_id-10,ADDRESS_ID,10,MEMORY_CONTRACT,ISOLATED_TEST,ZERO_DUPLICATES,No live canonical writes.
address_id-100,ADDRESS_ID,100,MEMORY_CONTRACT,ISOLATED_TEST,ZERO_DUPLICATES,No live canonical writes.
address_id-1000,ADDRESS_ID,1000,MEMORY_CONTRACT,ISOLATED_TEST,ZERO_DUPLICATES,No live canonical writes.
address_display_number-1,ADDRESS_DISPLAY_NUMBER,1,MEMORY_CONTRACT,ISOLATED_TEST,ZERO_DUPLICATES,No live canonical writes.
address_display_number-10,ADDRESS_DISPLAY_NUMBER,10,MEMORY_CONTRACT,ISOLATED_TEST,ZERO_DUPLICATES,No live canonical writes.
address_display_number-100,ADDRESS_DISPLAY_NUMBER,100,MEMORY_CONTRACT,ISOLATED_TEST,ZERO_DUPLICATES,No live canonical writes.
address_display_number-1000,ADDRESS_DISPLAY_NUMBER,1000,MEMORY_CONTRACT,ISOLATED_TEST,ZERO_DUPLICATES,No live canonical writes.
parcel_reference-1,PARCEL_REFERENCE,1,MEMORY_CONTRACT,ISOLATED_TEST,ZERO_DUPLICATES,No live canonical writes.
parcel_reference-10,PARCEL_REFERENCE,10,MEMORY_CONTRACT,ISOLATED_TEST,ZERO_DUPLICATES,No live canonical writes.
parcel_reference-100,PARCEL_REFERENCE,100,MEMORY_CONTRACT,ISOLATED_TEST,ZERO_DUPLICATES,No live canonical writes.
parcel_reference-1000,PARCEL_REFERENCE,1000,MEMORY_CONTRACT,ISOLATED_TEST,ZERO_DUPLICATES,No live canonical writes.
site_id-1,SITE_ID,1,MEMORY_CONTRACT,ISOLATED_TEST,ZERO_DUPLICATES,No live canonical writes.
site_id-10,SITE_ID,10,MEMORY_CONTRACT,ISOLATED_TEST,ZERO_DUPLICATES,No live canonical writes.
site_id-100,SITE_ID,100,MEMORY_CONTRACT,ISOLATED_TEST,ZERO_DUPLICATES,No live canonical writes.
site_id-1000,SITE_ID,1000,MEMORY_CONTRACT,ISOLATED_TEST,ZERO_DUPLICATES,No live canonical writes.
title_reference-1,TITLE_REFERENCE,1,MEMORY_CONTRACT,ISOLATED_TEST,ZERO_DUPLICATES,No live canonical writes.
title_reference-10,TITLE_REFERENCE,10,MEMORY_CONTRACT,ISOLATED_TEST,ZERO_DUPLICATES,No live canonical writes.
title_reference-100,TITLE_REFERENCE,100,MEMORY_CONTRACT,ISOLATED_TEST,ZERO_DUPLICATES,No live canonical writes.
title_reference-1000,TITLE_REFERENCE,1000,MEMORY_CONTRACT,ISOLATED_TEST,ZERO_DUPLICATES,No live canonical writes.
geometry_id_baseline-1,GEOMETRY_ID_BASELINE,1,STATIC_NAMESPACE_GUARD,ISOLATED_TEST,ZERO_DUPLICATES,No live canonical writes.
geometry_id_baseline-10,GEOMETRY_ID_BASELINE,10,STATIC_NAMESPACE_GUARD,ISOLATED_TEST,ZERO_DUPLICATES,No live canonical writes.
geometry_id_baseline-100,GEOMETRY_ID_BASELINE,100,STATIC_NAMESPACE_GUARD,ISOLATED_TEST,ZERO_DUPLICATES,No live canonical writes.
geometry_id_baseline-1000,GEOMETRY_ID_BASELINE,1000,STATIC_NAMESPACE_GUARD,ISOLATED_TEST,ZERO_DUPLICATES,No live canonical writes.
