scenario_id,requested_count,expected_unique_count,expected_duplicate_count,expected_same_scope_collision_count,sequence_gap_policy,expected_status
address_id-1,1,1,0,0,ALLOWED_NO_REUSE,PASS
address_id-10,10,10,0,0,ALLOWED_NO_REUSE,PASS
address_id-100,100,100,0,0,ALLOWED_NO_REUSE,PASS
address_id-1000,1000,1000,0,0,ALLOWED_NO_REUSE,PASS
address_display_number-1,1,1,0,0,ALLOWED_NO_REUSE,PASS
address_display_number-10,10,10,0,0,ALLOWED_NO_REUSE,PASS
address_display_number-100,100,100,0,0,ALLOWED_NO_REUSE,PASS
address_display_number-1000,1000,1000,0,0,ALLOWED_NO_REUSE,PASS
parcel_reference-1,1,1,0,0,ALLOWED_NO_REUSE,PASS
parcel_reference-10,10,10,0,0,ALLOWED_NO_REUSE,PASS
parcel_reference-100,100,100,0,0,ALLOWED_NO_REUSE,PASS
parcel_reference-1000,1000,1000,0,0,ALLOWED_NO_REUSE,PASS
site_id-1,1,1,0,0,ALLOWED_NO_REUSE,PASS
site_id-10,10,10,0,0,ALLOWED_NO_REUSE,PASS
site_id-100,100,100,0,0,ALLOWED_NO_REUSE,PASS
site_id-1000,1000,1000,0,0,ALLOWED_NO_REUSE,PASS
title_reference-1,1,1,0,0,ALLOWED_NO_REUSE,PASS
title_reference-10,10,10,0,0,ALLOWED_NO_REUSE,PASS
title_reference-100,100,100,0,0,ALLOWED_NO_REUSE,PASS
title_reference-1000,1000,1000,0,0,ALLOWED_NO_REUSE,PASS
geometry_id_baseline-1,1,2432,0,0,ALLOWED_NO_REUSE,PASS
geometry_id_baseline-10,10,2432,0,0,ALLOWED_NO_REUSE,PASS
geometry_id_baseline-100,100,2432,0,0,ALLOWED_NO_REUSE,PASS
geometry_id_baseline-1000,1000,2432,0,0,ALLOWED_NO_REUSE,PASS
