result_id,candidate_id,feature_type_code,disposition,canonical_feature_id,qualified,production_authority_required,geometry_ready,history_preserved,result_status,findings
featresult:nngla:336b43ecf1f7d07967b719c2178ee882728c91276165e3ca5a1293cb4c474619,featcand:nngla:d158989b0d5a29486c441409fca588bacedce80d3f7f0f1fb72f4db25ec73f42,MAINLAND,REUSE_CANONICAL,NG-FEAT-000001,true,false,true,true,EXISTING_CANONICAL_REUSED,existing-canonical-identity-preserved
featresult:nngla:95fa5b05b38d720cdada9e6961ad608f2ae0727909db0337581df9ed33071389,featcand:nngla:0c42f74ab8312274faef09c2763d6c7bf38b732f61d94b9d49fda827994fbdb9,RIVER,REUSE_CANONICAL,NG-FEAT-000002,true,false,true,true,EXISTING_CANONICAL_REUSED,existing-canonical-identity-preserved
featresult:nngla:b278483ff8f42c263c6ccd47a7d18454f94bed752a97ec4900d4f61b18926122,featcand:nngla:3a5c1d2e25dc178b1e5f73cebfe665ff1512f6987490b55728ca316ca4578000,RIVER,REUSE_CANONICAL,NG-FEAT-000003,true,false,true,true,EXISTING_CANONICAL_REUSED,existing-canonical-identity-preserved
featresult:nngla:407b220789721bfa432979fb4c791b0cafc068f701d30d0ca1d4970b1fafcc13,featcand:nngla:b77678b0301a9b84a62673590d4647a2477134c48708e79e92951664d8abb5fb,RIVER,REUSE_CANONICAL,NG-FEAT-000004,true,false,true,true,EXISTING_CANONICAL_REUSED,existing-canonical-identity-preserved
featresult:nngla:a3ab2af4b07d158eea0ab0a3b1c8fe7fab0b6a687e792fe24aba4651593da4b8,featcand:nngla:b1102c99c4b80bb5c7d161e27d80f29be0336eb7f3436156a75d07b4d1126df7,RIVER,REUSE_CANONICAL,NG-FEAT-000005,true,false,true,true,EXISTING_CANONICAL_REUSED,existing-canonical-identity-preserved
featresult:nngla:bc462ea71f35107f901ec9f5b152ec650ee4647ff0ceee5d9456ea5136368440,featcand:nngla:30061e846f6651b09280838e93d5644c51236662c7312a4e73eb4a4975da9afc,RIVER,REUSE_CANONICAL,NG-FEAT-000006,true,false,true,true,EXISTING_CANONICAL_REUSED,existing-canonical-identity-preserved
featresult:nngla:9899e773c0f787cc78f3daafe036f86be343abc4c8c80f09564a7ef4e51233bd,featcand:nngla:46bee1f1387b08be715ccc02a8304114536974b6852c72999a6db05f6f1def21,LAKE,REUSE_CANONICAL,NG-FEAT-000007,true,false,true,true,EXISTING_CANONICAL_REUSED,existing-canonical-identity-preserved
featresult:nngla:ff6c31f7d7bd2e161de934f549ebe8b69f0db4b266b914e38435f3ab71b22dae,featcand:nngla:8eeb8d0137143008570b3154b966dfae652266e6f017b1e73fe8f4cf2391155e,LAKE,REUSE_CANONICAL,NG-FEAT-000008,true,false,true,true,EXISTING_CANONICAL_REUSED,existing-canonical-identity-preserved
featresult:nngla:3bb87d32cd340f4297d737dd53fd68d19f1ec18c766da6b0d08a48ecb8605b55,featcand:nngla:91525be91edd0fd662c2c0582818f5dbb18ff51d3c8a98a36de1c26f3db5b9d3,LAKE,REUSE_CANONICAL,NG-FEAT-000009,true,false,true,true,EXISTING_CANONICAL_REUSED,existing-canonical-identity-preserved
featresult:nngla:75837144281f5594e5aa870af6f4a11aca871c650e8ec5235b1d2c1b19db22ec,featcand:nngla:8faaaa66ba2e7665e2e1ec5ba5a2527f938cd90dd3b497fd18429a43c8253c9a,MOUNTAIN,REUSE_CANONICAL,NG-FEAT-000010,true,false,true,true,EXISTING_CANONICAL_REUSED,existing-canonical-identity-preserved
featresult:nngla:337c1f391ec9065d17c92a8ee4e6e3ad1995203b21aa5d516fc4bce20351cb2e,featcand:nngla:d0ab8d453a0bb7af202bb5fd4c856172e30db38fcfefaad2045ddb0099c649d5,MOUNTAIN,REUSE_CANONICAL,NG-FEAT-000011,true,false,true,true,EXISTING_CANONICAL_REUSED,existing-canonical-identity-preserved
featresult:nngla:8ee048371dfb5942abf8c8936ad6e3ff035115eed7668335ac8f4aa1c8b6d94f,featcand:nngla:22b83cb664e382de86e26de49892bb6a782638da5fa3bd2f2f0bc79ab1ba4a59,MOUNTAIN,REUSE_CANONICAL,NG-FEAT-000012,true,false,true,true,EXISTING_CANONICAL_REUSED,existing-canonical-identity-preserved
featresult:nngla:b03802844ca60330a21c1e932340fd663af2b8e199166a31681619228b1b209f,featcand:nngla:245b6808adea0a9580bc48b361a67fcac79dec4dd85fa28be88ef5e6b1d2e7ad,VALLEY,REUSE_CANONICAL,NG-FEAT-000013,true,false,true,true,EXISTING_CANONICAL_REUSED,existing-canonical-identity-preserved
featresult:nngla:20d1bf4455d84e30d613f3b9b572d99c80e14691f5827b49231a5e4b27c7b4b4,featcand:nngla:7d706f680fd0da15a0848b0a4c9d7f10e1985b9bb3f7fb0c1eae015d33e43166,VALLEY,REUSE_CANONICAL,NG-FEAT-000014,true,false,true,true,EXISTING_CANONICAL_REUSED,existing-canonical-identity-preserved
featresult:nngla:b27ae1f1b63227bde086aefaab3cbefbe12346a2147e4581d0fe222836a5ba97,featcand:nngla:651fe4323888d435ddbec69609b9de6779fec8e5edb27fc48603e5a13e73abbd,VALLEY,REUSE_CANONICAL,NG-FEAT-000015,true,false,true,true,EXISTING_CANONICAL_REUSED,existing-canonical-identity-preserved
featresult:nngla:cd8538f79db5448cf832c9219108e5559131b4503030e33662e4691e90a3ee7f,featcand:nngla:f0d363151b54555b47cb305e530d86a90dbc839e3f4c044362ea8f505e3ef90f,PLAIN,REUSE_CANONICAL,NG-FEAT-000016,true,false,true,true,EXISTING_CANONICAL_REUSED,existing-canonical-identity-preserved
featresult:nngla:999c1721fee3104fd4f15448c878562831f66cd4a18a2669ce5f44a552b56305,featcand:nngla:c7c37276b0d083274169af65be4684cce8c98a5b9fe9cef8963bbeacf638bda7,PLAIN,REUSE_CANONICAL,NG-FEAT-000017,true,false,true,true,EXISTING_CANONICAL_REUSED,existing-canonical-identity-preserved
featresult:nngla:75b0ffc1ce0490f611698f46d582cac4123510e198a897859999397273401b6c,featcand:nngla:b01e713969094b8af5178f093cae25b176985bac5a5a0863d9a2b8839ba919a8,PLAIN,REUSE_CANONICAL,NG-FEAT-000018,true,false,true,true,EXISTING_CANONICAL_REUSED,existing-canonical-identity-preserved
featresult:nngla:04f69fc2939e9394c148a9cb40309dbbb4bb540c7abe9ca27cfde8ad89d0381d,featcand:nngla:8bb125c7188010a2bccb15d6c965030c8d4967558c711302db77d6c33ee953f1,PLATEAU,REUSE_CANONICAL,NG-FEAT-000019,true,false,true,true,EXISTING_CANONICAL_REUSED,existing-canonical-identity-preserved
featresult:nngla:86e80c3b02a651344ce8f6fdc33fbd4415d1fbf4bba189e895115842b25084dc,featcand:nngla:367677ff40dd5d2722f2fdcb499ed96c798fbe65dca0d67f1d27f8a300535b7d,PLATEAU,REUSE_CANONICAL,NG-FEAT-000020,true,false,true,true,EXISTING_CANONICAL_REUSED,existing-canonical-identity-preserved
featresult:nngla:d2a3c4815f0d494b8e237ca878e4a13a6398d521cec3ad5e7e032d75ab65bba1,featcand:nngla:ffc1b7ed0e5f238743b7c5ff003266969e071cf4770e08d105d9ffd9d5df2fe7,PLATEAU,REUSE_CANONICAL,NG-FEAT-000021,true,false,true,true,EXISTING_CANONICAL_REUSED,existing-canonical-identity-preserved
featresult:nngla:e8de6602bf8e3046ed504969886964ced6a1e5c2a61f25ea77f35adccec9b43c,featcand:nngla:466b01b578d65940a26dc6fada3380776f8e18cb44a8dd9b7d93f8b242608c0b,ISLAND,RECOGNIZE_NEW,,true,true,true,true,QUALIFIED_PENDING_PRODUCTION_RECOGNITION,production-recognition-required;no-sovereign-id-consumed-by-source-artifact
featresult:nngla:2bbc1c011c9feefc6da680172bb6412dc66fe501b2c0f66ebf910b382256a3e6,featcand:nngla:2a76946fae2f89fb1a034eb3f0491f0253e9682e2ec688b00730cab3e16b7814,ISLAND,RECOGNIZE_NEW,,true,true,true,true,QUALIFIED_PENDING_PRODUCTION_RECOGNITION,production-recognition-required;no-sovereign-id-consumed-by-source-artifact
featresult:nngla:a11cd7e9a4bd55a193a13f82306003cd90ea6b5dae3e54033311e799ec5108e1,featcand:nngla:30bc01b58317add3ff0b905d328b882fa2c082072c1a68346adca1ecfd570eff,ISLAND,RECOGNIZE_NEW,,true,true,true,true,QUALIFIED_PENDING_PRODUCTION_RECOGNITION,production-recognition-required;no-sovereign-id-consumed-by-source-artifact
featresult:nngla:5e75c62b6db7a6e35da263cea7c44ff60afed22deb278604709918f9d6abeb8f,featcand:nngla:f0f33d973cd35a5fd2a0d2504b68ad4e804fe7496d73fd34ed30151f36fcbcf9,ISLAND,RECOGNIZE_NEW,,true,true,true,true,QUALIFIED_PENDING_PRODUCTION_RECOGNITION,production-recognition-required;no-sovereign-id-consumed-by-source-artifact
featresult:nngla:ca424e856dbcf0a536acdfb5b9cdad35f64bb987fd0fe98430a821a386f62296,featcand:nngla:856008c8952a8727a97e6a93f2c8ffe7ce19ae2173903c3f5966f3b9ab66362c,ISLAND,RECOGNIZE_NEW,,true,true,true,true,QUALIFIED_PENDING_PRODUCTION_RECOGNITION,production-recognition-required;no-sovereign-id-consumed-by-source-artifact
