traversal_qualification_id,geometry_id,subject_type,subject_id,geometry_type_code,crs_code,source_path_reference,source_artifact_exists,source_sha256_matches,geometry_type_supported,crs_valid,qualified_source,traversal_basis,identifier_sequence_used,traversal_status,findings
NG-GTRAV-000001,NG-GEO-000001,COUNTRY,country:novegeo,MULTIPOLYGON,NG-CRS-EPSG4326,data/novegeo/geography/world-boundary/candidate/novegeo_world_boundary_v002.geojson,true,true,true,true,true,COORDINATE_SEQUENCE_GEOMETRY_NOT_IDENTIFIER_TOPOLOGY,false,PASS,
NG-GTRAV-000002,NG-GEO-000002,RIVER,river:novegeo:r000001,LINESTRING,NG-CRS-EPSG4326,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,true,true,true,true,true,COORDINATE_SEQUENCE_GEOMETRY_NOT_IDENTIFIER_TOPOLOGY,false,PASS,
NG-GTRAV-000003,NG-GEO-000003,RIVER,river:novegeo:r000002,LINESTRING,NG-CRS-EPSG4326,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,true,true,true,true,true,COORDINATE_SEQUENCE_GEOMETRY_NOT_IDENTIFIER_TOPOLOGY,false,PASS,
NG-GTRAV-000004,NG-GEO-000004,RIVER,river:novegeo:r000003,LINESTRING,NG-CRS-EPSG4326,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,true,true,true,true,true,COORDINATE_SEQUENCE_GEOMETRY_NOT_IDENTIFIER_TOPOLOGY,false,PASS,
NG-GTRAV-000005,NG-GEO-000005,RIVER,river:novegeo:r000004,LINESTRING,NG-CRS-EPSG4326,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,true,true,true,true,true,COORDINATE_SEQUENCE_GEOMETRY_NOT_IDENTIFIER_TOPOLOGY,false,PASS,
NG-GTRAV-000006,NG-GEO-000006,RIVER,river:novegeo:r000005,LINESTRING,NG-CRS-EPSG4326,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,true,true,true,true,true,COORDINATE_SEQUENCE_GEOMETRY_NOT_IDENTIFIER_TOPOLOGY,false,PASS,
NG-GTRAV-000007,NG-GEO-000007,LAKE,lake:novegeo:l000001,POLYGON,NG-CRS-EPSG4326,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,true,true,true,true,true,COORDINATE_SEQUENCE_GEOMETRY_NOT_IDENTIFIER_TOPOLOGY,false,PASS,
NG-GTRAV-000008,NG-GEO-000008,LAKE,lake:novegeo:l000002,POLYGON,NG-CRS-EPSG4326,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,true,true,true,true,true,COORDINATE_SEQUENCE_GEOMETRY_NOT_IDENTIFIER_TOPOLOGY,false,PASS,
NG-GTRAV-000009,NG-GEO-000009,LAKE,lake:novegeo:l000003,POLYGON,NG-CRS-EPSG4326,data/novegeo/geography/hydrology/qualified/novegeo_hydrology_v001.json,true,true,true,true,true,COORDINATE_SEQUENCE_GEOMETRY_NOT_IDENTIFIER_TOPOLOGY,false,PASS,
NG-GTRAV-000010,NG-GEO-000010,MOUNTAIN,landform:novegeo:mountain:001,POINT,NG-CRS-EPSG4326,data/novegeo/geography/landforms/qualified/novegeo_landforms_v001.geojson,true,true,true,true,true,COORDINATE_SEQUENCE_GEOMETRY_NOT_IDENTIFIER_TOPOLOGY,false,PASS,
