precondition_result_id,association_candidate_id,canonical_subject_id,geometry_id,identity_preserved,canonical_subject_confirmed,geometry_evidence_available,geometry_traversal_valid,subject_role_compatible,association_ready,precondition_status,findings
NG-SPAPRE-0000001,assocand:nngla:place:NG-PLC-000001,NG-PLC-000001,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000002,assocand:nngla:place:NG-PLC-000002,NG-PLC-000002,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000003,assocand:nngla:place:NG-PLC-000003,NG-PLC-000003,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000004,assocand:nngla:place:NG-PLC-000004,NG-PLC-000004,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000005,assocand:nngla:place:NG-PLC-000005,NG-PLC-000005,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000006,assocand:nngla:place:NG-PLC-000006,NG-PLC-000006,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000007,assocand:nngla:place:NG-PLC-000007,NG-PLC-000007,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000008,assocand:nngla:place:NG-PLC-000008,NG-PLC-000008,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000009,assocand:nngla:place:NG-PLC-000009,NG-PLC-000009,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000010,assocand:nngla:place:NG-PLC-000010,NG-PLC-000010,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000011,assocand:nngla:place:NG-PLC-000011,NG-PLC-000011,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000012,assocand:nngla:place:NG-PLC-000012,NG-PLC-000012,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000013,assocand:nngla:place:NG-PLC-000013,NG-PLC-000013,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000014,assocand:nngla:place:NG-PLC-000014,NG-PLC-000014,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000015,assocand:nngla:place:NG-PLC-000015,NG-PLC-000015,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000016,assocand:nngla:place:NG-PLC-000016,NG-PLC-000016,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000017,assocand:nngla:place:NG-PLC-000017,NG-PLC-000017,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000018,assocand:nngla:place:NG-PLC-000018,NG-PLC-000018,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000019,assocand:nngla:place:NG-PLC-000019,NG-PLC-000019,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000020,assocand:nngla:place:NG-PLC-000020,NG-PLC-000020,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000021,assocand:nngla:place:NG-PLC-000021,NG-PLC-000021,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000022,assocand:nngla:place:NG-PLC-000022,NG-PLC-000022,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000023,assocand:nngla:place:NG-PLC-000023,NG-PLC-000023,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000024,assocand:nngla:place:NG-PLC-000024,NG-PLC-000024,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000025,assocand:nngla:place:NG-PLC-000025,NG-PLC-000025,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
NG-SPAPRE-0000026,assocand:nngla:place:NG-PLC-000026,NG-PLC-000026,,true,true,false,false,true,false,DEFERRED_NO_GEOMETRY,GOVERNED_GEOMETRY_REQUIRED_BEFORE_ASSOCIATION
