conflict_result_id,subject_type,subject_id,relationship_type_code,object_type,object_id,relationship_evidence_id,conflict_rule_set_code,compatibility_rule_code,geometry_evidence_status,environment_evidence_status,containment_evidence_status,compatibility_outcome,conflict_status,qualification_status,findings,runtime_effect_scope
NG-CONFLICT-0000001,MOUNTAIN,NG-MTN-CAND-000001,WITHIN,SOVEREIGN_PART,NG-SOV-PART-000001,sprel:nngla:ba3590343f0de98c5a184e59d05db5ccf817c5aa3a3eec96ac89f3790e87654e,NG-CONFLICT-RS-LANDFORM,NG-COMP-RULE-0001,REFERENCE_POINT_ONLY_EXTENT_PENDING,NOT_REQUIRED_FOR_REFERENCE_RELATION_QUALIFICATION,PASS,ALLOW,NOT_EVALUABLE_PENDING_GEOMETRY,PASS_WITH_DEFERRED_GEOMETRY,LOCATION_RELATION_QUALIFIED;FULL_EXTENT_CONFLICT_CHECK_DEFERRED_UNTIL_AUTHORITATIVE_GEOMETRY,SHARED_REFERENCE
NG-CONFLICT-0000002,MOUNTAIN,NG-MTN-CAND-000002,WITHIN,SOVEREIGN_PART,NG-SOV-PART-000001,sprel:nngla:f99ee66f396c55ac7a70b81b4f101ba8ae0eed643b11cf08cd0bffeb981297d9,NG-CONFLICT-RS-LANDFORM,NG-COMP-RULE-0001,REFERENCE_POINT_ONLY_EXTENT_PENDING,NOT_REQUIRED_FOR_REFERENCE_RELATION_QUALIFICATION,PASS,ALLOW,NOT_EVALUABLE_PENDING_GEOMETRY,PASS_WITH_DEFERRED_GEOMETRY,LOCATION_RELATION_QUALIFIED;FULL_EXTENT_CONFLICT_CHECK_DEFERRED_UNTIL_AUTHORITATIVE_GEOMETRY,SHARED_REFERENCE
NG-CONFLICT-0000003,MOUNTAIN,NG-MTN-CAND-000003,WITHIN,SOVEREIGN_PART,NG-SOV-PART-000001,sprel:nngla:9e51b15c33badb2f7adb052e3ba60af25f2b8ed6a28508644130e460e0d6a187,NG-CONFLICT-RS-LANDFORM,NG-COMP-RULE-0001,REFERENCE_POINT_ONLY_EXTENT_PENDING,NOT_REQUIRED_FOR_REFERENCE_RELATION_QUALIFICATION,PASS,ALLOW,NOT_EVALUABLE_PENDING_GEOMETRY,PASS_WITH_DEFERRED_GEOMETRY,LOCATION_RELATION_QUALIFIED;FULL_EXTENT_CONFLICT_CHECK_DEFERRED_UNTIL_AUTHORITATIVE_GEOMETRY,SHARED_REFERENCE
NG-CONFLICT-0000004,VALLEY,NG-VAL-CAND-000001,WITHIN,SOVEREIGN_PART,NG-SOV-PART-000001,sprel:nngla:81cb7ccedf8d73f6c5120731afed33dfdb11572050793f11a198a27029c70c99,NG-CONFLICT-RS-LANDFORM,NG-COMP-RULE-0002,REFERENCE_POINT_ONLY_EXTENT_PENDING,NOT_REQUIRED_FOR_REFERENCE_RELATION_QUALIFICATION,PASS,ALLOW,NOT_EVALUABLE_PENDING_GEOMETRY,PASS_WITH_DEFERRED_GEOMETRY,LOCATION_RELATION_QUALIFIED;FULL_EXTENT_CONFLICT_CHECK_DEFERRED_UNTIL_AUTHORITATIVE_GEOMETRY,SHARED_REFERENCE
NG-CONFLICT-0000005,VALLEY,NG-VAL-CAND-000002,WITHIN,SOVEREIGN_PART,NG-SOV-PART-000001,sprel:nngla:36340323438d287bb004f68cb55ed3b980b494e07aaa9d1ba05ee974a48129ba,NG-CONFLICT-RS-LANDFORM,NG-COMP-RULE-0002,REFERENCE_POINT_ONLY_EXTENT_PENDING,NOT_REQUIRED_FOR_REFERENCE_RELATION_QUALIFICATION,PASS,ALLOW,NOT_EVALUABLE_PENDING_GEOMETRY,PASS_WITH_DEFERRED_GEOMETRY,LOCATION_RELATION_QUALIFIED;FULL_EXTENT_CONFLICT_CHECK_DEFERRED_UNTIL_AUTHORITATIVE_GEOMETRY,SHARED_REFERENCE
NG-CONFLICT-0000006,VALLEY,NG-VAL-CAND-000003,WITHIN,SOVEREIGN_PART,NG-SOV-PART-000001,sprel:nngla:5e7aa8eded43993172124fe97fa1b7bbff54e5422196d9f6fcea813d421d5e50,NG-CONFLICT-RS-LANDFORM,NG-COMP-RULE-0002,REFERENCE_POINT_ONLY_EXTENT_PENDING,NOT_REQUIRED_FOR_REFERENCE_RELATION_QUALIFICATION,PASS,ALLOW,NOT_EVALUABLE_PENDING_GEOMETRY,PASS_WITH_DEFERRED_GEOMETRY,LOCATION_RELATION_QUALIFIED;FULL_EXTENT_CONFLICT_CHECK_DEFERRED_UNTIL_AUTHORITATIVE_GEOMETRY,SHARED_REFERENCE
NG-CONFLICT-0000007,PLATEAU,NG-PLT-CAND-000001,WITHIN,SOVEREIGN_PART,NG-SOV-PART-000001,sprel:nngla:3bfad97ca1862c2847e0bb78e104ba43979c0e17ec523cf287c3f8c1c70b501f,NG-CONFLICT-RS-LANDFORM,NG-COMP-RULE-0003,REFERENCE_POINT_ONLY_EXTENT_PENDING,NOT_REQUIRED_FOR_REFERENCE_RELATION_QUALIFICATION,PASS,ALLOW,NOT_EVALUABLE_PENDING_GEOMETRY,PASS_WITH_DEFERRED_GEOMETRY,LOCATION_RELATION_QUALIFIED;FULL_EXTENT_CONFLICT_CHECK_DEFERRED_UNTIL_AUTHORITATIVE_GEOMETRY,SHARED_REFERENCE
NG-CONFLICT-0000008,PLATEAU,NG-PLT-CAND-000002,WITHIN,SOVEREIGN_PART,NG-SOV-PART-000001,sprel:nngla:4d806b5af98e7e82d7ac02cbe947cd4c90b3ca127e291890b60f6900f33faca1,NG-CONFLICT-RS-LANDFORM,NG-COMP-RULE-0003,REFERENCE_POINT_ONLY_EXTENT_PENDING,NOT_REQUIRED_FOR_REFERENCE_RELATION_QUALIFICATION,PASS,ALLOW,NOT_EVALUABLE_PENDING_GEOMETRY,PASS_WITH_DEFERRED_GEOMETRY,LOCATION_RELATION_QUALIFIED;FULL_EXTENT_CONFLICT_CHECK_DEFERRED_UNTIL_AUTHORITATIVE_GEOMETRY,SHARED_REFERENCE
NG-CONFLICT-0000009,PLATEAU,NG-PLT-CAND-000003,WITHIN,SOVEREIGN_PART,NG-SOV-PART-000001,sprel:nngla:ccd4555171f450b5e0eee7a6879452967c5a3c898d4e2821af41936a62d02003,NG-CONFLICT-RS-LANDFORM,NG-COMP-RULE-0003,REFERENCE_POINT_ONLY_EXTENT_PENDING,NOT_REQUIRED_FOR_REFERENCE_RELATION_QUALIFICATION,PASS,ALLOW,NOT_EVALUABLE_PENDING_GEOMETRY,PASS_WITH_DEFERRED_GEOMETRY,LOCATION_RELATION_QUALIFIED;FULL_EXTENT_CONFLICT_CHECK_DEFERRED_UNTIL_AUTHORITATIVE_GEOMETRY,SHARED_REFERENCE
NG-CONFLICT-0000010,PLAIN,NG-PLN-CAND-000001,WITHIN,SOVEREIGN_PART,NG-SOV-PART-000003,sprel:nngla:242e2b60f55a82fe018272b0342817e5fb24012d7b3e1b58d3d6a59f541e95c9,NG-CONFLICT-RS-LANDFORM,NG-COMP-RULE-0004,REFERENCE_POINT_ONLY_EXTENT_PENDING,NOT_REQUIRED_FOR_REFERENCE_RELATION_QUALIFICATION,PASS,ALLOW,NOT_EVALUABLE_PENDING_GEOMETRY,PASS_WITH_DEFERRED_GEOMETRY,LOCATION_RELATION_QUALIFIED;FULL_EXTENT_CONFLICT_CHECK_DEFERRED_UNTIL_AUTHORITATIVE_GEOMETRY,SHARED_REFERENCE
