persistence_qualification_id,coordinate_candidate_id,canonical_spatial_point_id,geometry_id,migration_action,source_verified,coordinate_valid,map_reconciled,crs_valid,precision_valid,containment_valid,topology_valid,topology_applicability,environment_resolved,environment_applicability,conflict_free,conflict_applicability,canonical_id_stable,geometry_assignment_valid,crosswalk_valid,effective_dating_valid,qualification_status,findings,runtime_effect_scope
NG-SPPERSIST-0000001,coordcand:nngla:f278ba55142ad66b2eb1558f789118032feeaf55405f26ef7f73ec8010e483cb,NG-SPT-001105,NG-GEO-001126,INSERT_NEW,true,true,true,true,true,true,true,NOT_APPLICABLE_FREE_COORDINATE_NOT_A_REFERENCE_CELL,true,NOT_APPLICABLE_NO_ENVIRONMENT_BINDING_REQUIRED,true,NOT_APPLICABLE_NO_ASSERTED_OCCUPANCY_RELATION,true,true,true,true,PASS,,SHARED_REFERENCE
NG-SPPERSIST-0000002,coordcand:nngla:0dc430110cb84e245aea4b09a4f46cdf54fcd6022f1dcdf023be4552dfdf0486,NG-SPT-001106,NG-GEO-001127,INSERT_NEW,true,true,true,true,true,true,true,NOT_APPLICABLE_FREE_COORDINATE_NOT_A_REFERENCE_CELL,true,NOT_APPLICABLE_NO_ENVIRONMENT_BINDING_REQUIRED,true,NOT_APPLICABLE_NO_ASSERTED_OCCUPANCY_RELATION,true,true,true,true,PASS,,SHARED_REFERENCE
NG-SPPERSIST-0000003,coordcand:nngla:dbcecdf9b095fd1d9f3058b36dd61f817b5f6a93ece2c286028e9bf587990248,NG-SPT-001107,NG-GEO-001128,INSERT_NEW,true,true,true,true,true,true,true,NOT_APPLICABLE_FREE_COORDINATE_NOT_A_REFERENCE_CELL,true,NOT_APPLICABLE_NO_ENVIRONMENT_BINDING_REQUIRED,true,NOT_APPLICABLE_NO_ASSERTED_OCCUPANCY_RELATION,true,true,true,true,PASS,,SHARED_REFERENCE
NG-SPPERSIST-0000004,coordcand:nngla:6608286abd0e81e16d6bd62aba3be0f083988370df4c2b930b839f49617d2d85,NG-SPT-001108,NG-GEO-001129,INSERT_NEW,true,true,true,true,true,true,true,NOT_APPLICABLE_FREE_COORDINATE_NOT_A_REFERENCE_CELL,true,NOT_APPLICABLE_NO_ENVIRONMENT_BINDING_REQUIRED,true,NOT_APPLICABLE_NO_ASSERTED_OCCUPANCY_RELATION,true,true,true,true,PASS,,SHARED_REFERENCE
NG-SPPERSIST-0000005,coordcand:nngla:452dfafc50d75c153119ebb3155d7d59d083c343d5cb90f3041750813aceacad,NG-SPT-001109,NG-GEO-001130,INSERT_NEW,true,true,true,true,true,true,true,NOT_APPLICABLE_FREE_COORDINATE_NOT_A_REFERENCE_CELL,true,NOT_APPLICABLE_NO_ENVIRONMENT_BINDING_REQUIRED,true,NOT_APPLICABLE_NO_ASSERTED_OCCUPANCY_RELATION,true,true,true,true,PASS,,SHARED_REFERENCE
NG-SPPERSIST-0000006,coordcand:nngla:96470ec3899a6a857bab538ad80d7487a655b24e5e0147cd527f0ed78f82037a,NG-SPT-001110,NG-GEO-001131,INSERT_NEW,true,true,true,true,true,true,true,NOT_APPLICABLE_FREE_COORDINATE_NOT_A_REFERENCE_CELL,true,NOT_APPLICABLE_NO_ENVIRONMENT_BINDING_REQUIRED,true,NOT_APPLICABLE_NO_ASSERTED_OCCUPANCY_RELATION,true,true,true,true,PASS,,SHARED_REFERENCE
NG-SPPERSIST-0000007,coordcand:nngla:b8cb19a07562a99aaa56a3daf8f83091e1c64b72c3f2721ad67705f237cd68b8,NG-SPT-001111,NG-GEO-001132,INSERT_NEW,true,true,true,true,true,true,true,NOT_APPLICABLE_FREE_COORDINATE_NOT_A_REFERENCE_CELL,true,NOT_APPLICABLE_NO_ENVIRONMENT_BINDING_REQUIRED,true,NOT_APPLICABLE_NO_ASSERTED_OCCUPANCY_RELATION,true,true,true,true,PASS,,SHARED_REFERENCE
NG-SPPERSIST-0000008,coordcand:nngla:d08bc74ea0caf53478428801872aa6888e641ef6fa3ead834944fcd055170975,NG-SPT-001112,NG-GEO-001133,INSERT_NEW,true,true,true,true,true,true,true,NOT_APPLICABLE_FREE_COORDINATE_NOT_A_REFERENCE_CELL,true,NOT_APPLICABLE_NO_ENVIRONMENT_BINDING_REQUIRED,true,NOT_APPLICABLE_NO_ASSERTED_OCCUPANCY_RELATION,true,true,true,true,PASS,,SHARED_REFERENCE
NG-SPPERSIST-0000009,coordcand:nngla:4be29949c6304e74be37dd5afe05fc478b8e0ed97ec8fa7d03e73bea54123365,NG-SPT-001113,NG-GEO-001134,INSERT_NEW,true,true,true,true,true,true,true,NOT_APPLICABLE_FREE_COORDINATE_NOT_A_REFERENCE_CELL,true,NOT_APPLICABLE_NO_ENVIRONMENT_BINDING_REQUIRED,true,NOT_APPLICABLE_NO_ASSERTED_OCCUPANCY_RELATION,true,true,true,true,PASS,,SHARED_REFERENCE
NG-SPPERSIST-0000010,coordcand:nngla:63ac3c1770ce4929c6beddaf34055a14267817791c1d607c5e43e55d2b1baa20,NG-SPT-001114,NG-GEO-001135,INSERT_NEW,true,true,true,true,true,true,true,NOT_APPLICABLE_FREE_COORDINATE_NOT_A_REFERENCE_CELL,true,NOT_APPLICABLE_NO_ENVIRONMENT_BINDING_REQUIRED,true,NOT_APPLICABLE_NO_ASSERTED_OCCUPANCY_RELATION,true,true,true,true,PASS,,SHARED_REFERENCE
