source_file_id,source_path,expected_sha256,actual_sha256,expected_row_count,actual_row_count,header_present,namespace_contract_status,contract_status,findings
NG-SPFILE-001,data/novegeo/nngla/spatial-fabric/source/01_spatial_fabric/novegeo_climate_observations_v001.csv,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,276,276,true,PASS,PASS,
NG-SPFILE-002,data/novegeo/nngla/spatial-fabric/source/01_spatial_fabric/novegeo_elevation_observations_v001.csv,8844b36a1a9b61d41fd740c32f5cc4d7b582372a05f3720ae829745dcea6025e,8844b36a1a9b61d41fd740c32f5cc4d7b582372a05f3720ae829745dcea6025e,1104,1104,true,PASS,PASS,
NG-SPFILE-003,data/novegeo/nngla/spatial-fabric/source/01_spatial_fabric/novegeo_major_grid_boxes_v001.csv,3f8dcaf237a1472ac92efa45d9ebca44bdafb55b6616a66f3221de646c8ffb82,3f8dcaf237a1472ac92efa45d9ebca44bdafb55b6616a66f3221de646c8ffb82,16,16,true,PASS,PASS,
NG-SPFILE-004,data/novegeo/nngla/spatial-fabric/source/01_spatial_fabric/novegeo_rainfall_systems_v001.csv,e35e47230c4a4126f7933d27a01836013ed0d079894348bcc25f1b40c9abac4f,e35e47230c4a4126f7933d27a01836013ed0d079894348bcc25f1b40c9abac4f,2,2,true,PASS,PASS,
NG-SPFILE-005,data/novegeo/nngla/spatial-fabric/source/01_spatial_fabric/novegeo_sovereign_parts_v001.csv,66240f519a0982815c3fc95c1f82b5da88d5c98df56d64d3a3e060d5a7591b90,66240f519a0982815c3fc95c1f82b5da88d5c98df56d64d3a3e060d5a7591b90,6,6,true,PASS,PASS,
NG-SPFILE-006,data/novegeo/nngla/spatial-fabric/source/01_spatial_fabric/novegeo_spatial_grid_cells_v001.csv,54de16690703fbe7b6177c4ded764bbc5e7567a637feb3e09ff02eb1fcd60773,54de16690703fbe7b6177c4ded764bbc5e7567a637feb3e09ff02eb1fcd60773,1104,1104,true,PASS,PASS,
NG-SPFILE-007,data/novegeo/nngla/spatial-fabric/source/01_spatial_fabric/novegeo_spatial_grid_points_v001.csv,1fa140923c2d0b38f78725f6875fab4e883fb922215cd22945613bd44e679a2b,1fa140923c2d0b38f78725f6875fab4e883fb922215cd22945613bd44e679a2b,1104,1104,true,PASS,PASS,
NG-SPFILE-008,data/novegeo/nngla/spatial-fabric/source/01_spatial_fabric/novegeo_vegetation_observations_v001.csv,d2e1ae846066071815014ebedbc69abc17660a59de5e3ebd721b0482809cf034,d2e1ae846066071815014ebedbc69abc17660a59de5e3ebd721b0482809cf034,276,276,true,PASS,PASS,
NG-SPFILE-009,data/novegeo/nngla/spatial-fabric/source/01_spatial_fabric/novegeo_world_boundary_v002_segment-ledger.csv,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,22f200dbd9157eca3db88aa7ea4b884e5530e0287e6be2de096330bc8221708a,38,38,true,PASS,PASS,
NG-SPFILE-010,data/novegeo/nngla/spatial-fabric/source/01_spatial_fabric/novegeo_world_boundary_v002_vertices.csv,c5ce66daa2119d5f4539f438dafec40091b234638e750f49b42ad88ddd0cc026,c5ce66daa2119d5f4539f438dafec40091b234638e750f49b42ad88ddd0cc026,1054,1054,true,PASS,PASS,
NG-SPFILE-011,data/novegeo/nngla/spatial-fabric/source/02_existing_physical_world/novegeo_drainage_networks_v001.csv,fafff05b3f4a86c63fa019e55b2ae59e81570c72c6a16766a5bed1e9b05c1b78,fafff05b3f4a86c63fa019e55b2ae59e81570c72c6a16766a5bed1e9b05c1b78,4,4,true,PASS,PASS,
NG-SPFILE-012,data/novegeo/nngla/spatial-fabric/source/02_existing_physical_world/novegeo_hydrology_geometry_vertices_v001.csv,6d3ea1565dae0533fd71c85cc5e6b31f1e59b0767d9ec261cdc72535e857479a,6d3ea1565dae0533fd71c85cc5e6b31f1e59b0767d9ec261cdc72535e857479a,252,252,true,PASS,PASS,
NG-SPFILE-013,data/novegeo/nngla/spatial-fabric/source/02_existing_physical_world/novegeo_hydrology_junctions_v001.csv,3bd52e14a7a20fafba19b9fdaf0863ab4064d05aee2855d24db4221063a62ae6,3bd52e14a7a20fafba19b9fdaf0863ab4064d05aee2855d24db4221063a62ae6,4,4,true,PASS,PASS,
NG-SPFILE-014,data/novegeo/nngla/spatial-fabric/source/02_existing_physical_world/novegeo_island_candidates_v001.csv,eff276eca2ef3d981616318a83d4849434067dde734d3b3688f56ee7d4a00d06,eff276eca2ef3d981616318a83d4849434067dde734d3b3688f56ee7d4a00d06,5,5,true,PASS,PASS,
NG-SPFILE-015,data/novegeo/nngla/spatial-fabric/source/02_existing_physical_world/novegeo_lake_candidates_v001.csv,5fce7bdd14bf0ed20815519c5af4a7a4d104dba858d0057e43db15e42ade8b25,5fce7bdd14bf0ed20815519c5af4a7a4d104dba858d0057e43db15e42ade8b25,3,3,true,PASS,PASS,
NG-SPFILE-016,data/novegeo/nngla/spatial-fabric/source/02_existing_physical_world/novegeo_landform_reference_points_v001.csv,a1adad6ba56e5eed1dd3e3d19d7dcb391aff5671703c2cf0b598d85becdceb99,a1adad6ba56e5eed1dd3e3d19d7dcb391aff5671703c2cf0b598d85becdceb99,12,12,true,PASS,PASS,
NG-SPFILE-017,data/novegeo/nngla/spatial-fabric/source/02_existing_physical_world/novegeo_river_candidates_v001.csv,8997904a0df5846eb1b3e2aeb35988186fb21f7b4e1dc57810e3bcd0afe682d9,8997904a0df5846eb1b3e2aeb35988186fb21f7b4e1dc57810e3bcd0afe682d9,5,5,true,PASS,PASS,
NG-SPFILE-018,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_bay_candidates_v001.csv,9d5ec107347180958042ef337d487b1a666b87c3c04bd89219577e05b2292649,9d5ec107347180958042ef337d487b1a666b87c3c04bd89219577e05b2292649,3,3,true,PASS,PASS,
NG-SPFILE-019,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_beach_candidates_v001.csv,f504f40733f079cae8a04c1850c26737b8e8bb8618c63bd2c4f5d3f9388744bf,f504f40733f079cae8a04c1850c26737b8e8bb8618c63bd2c4f5d3f9388744bf,2,2,true,PASS,PASS,
NG-SPFILE-020,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_cape_candidates_v001.csv,87a54facf1dc2bb81210927ed681ff9f630231881a2fdb046e4488e699383027,87a54facf1dc2bb81210927ed681ff9f630231881a2fdb046e4488e699383027,2,2,true,PASS,PASS,
NG-SPFILE-021,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_cliff_candidates_v001.csv,f3433cc87da58243f275f492e16df48730ede2b1944e2105de99e210e33e9b69,f3433cc87da58243f275f492e16df48730ede2b1944e2105de99e210e33e9b69,2,2,true,PASS,PASS,
NG-SPFILE-022,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_estuary_candidates_v001.csv,ac47ed7cf9d05678462de03e5cac5dc4e7ce311fea68fe1d17da6b595c0c62cb,ac47ed7cf9d05678462de03e5cac5dc4e7ce311fea68fe1d17da6b595c0c62cb,1,1,true,PASS,PASS,
NG-SPFILE-023,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_forest_candidates_v001.csv,cf3f6ebc668d88ecbb35748395b0cf6e6aca7c1663f1fc081033b78311c3d511,cf3f6ebc668d88ecbb35748395b0cf6e6aca7c1663f1fc081033b78311c3d511,0,0,true,PASS,PASS,
NG-SPFILE-024,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_hill_candidates_v001.csv,cf3f6ebc668d88ecbb35748395b0cf6e6aca7c1663f1fc081033b78311c3d511,cf3f6ebc668d88ecbb35748395b0cf6e6aca7c1663f1fc081033b78311c3d511,0,0,true,PASS,PASS,
NG-SPFILE-025,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_mountain_candidates_v001.csv,6b72d2d7ed8858a2fdc28f735873db0744dbe0b67c8b13214b245f5e3001ac1c,6b72d2d7ed8858a2fdc28f735873db0744dbe0b67c8b13214b245f5e3001ac1c,3,3,true,PASS,PASS,
NG-SPFILE-026,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_natural_harbour_candidates_v001.csv,9ecd426379fa37e7d63212cd3fb6a0ef4d9d48a2802b76ca0477747a62350e49,9ecd426379fa37e7d63212cd3fb6a0ef4d9d48a2802b76ca0477747a62350e49,1,1,true,PASS,PASS,
NG-SPFILE-027,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_plain_candidates_v001.csv,0d4018a7ff0a86ffcd5961c82b24796d17c5098c92439b40ca9acb053d160e80,0d4018a7ff0a86ffcd5961c82b24796d17c5098c92439b40ca9acb053d160e80,3,3,true,PASS,PASS,
NG-SPFILE-028,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_plateau_candidates_v001.csv,8845e8de498986799f9200d8e9f009f14d048b2f4d37b99cefe124014a906bce,8845e8de498986799f9200d8e9f009f14d048b2f4d37b99cefe124014a906bce,3,3,true,PASS,PASS,
NG-SPFILE-029,data/novegeo/nngla/spatial-fabric/source/03_qualified_feature_candidates/novegeo_valley_candidates_v001.csv,293c53a106de9e66041447133a3dabada297792962d98798d1dec55b2976eefa,293c53a106de9e66041447133a3dabada297792962d98798d1dec55b2976eefa,3,3,true,PASS,PASS,
