source_fidelity_result_id,coordinate_occurrence_id,source_file_id,source_record_id,source_dataset_id,source_dataset_version,source_path_reference,expected_source_sha256,actual_source_sha256,source_coordinate_match,source_attribute_match,dataset_lineage_match,crs_lineage_match,fidelity_status,findings
NG-FID-00000001,coordocc:nngla:05812dfd222ecd704986f4963c2003cde85322352bfa9c706a4467f7e5340c4e,NG-SPFILE-001,NG-CLIM-OBS-000001,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000002,coordocc:nngla:ad7f3028b279fdb31edde977c8aee313c53ebea0aa5c901db14533560fcf4feb,NG-SPFILE-001,NG-CLIM-OBS-000002,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000003,coordocc:nngla:f3fed2c3662e53001db5a80b131889bdf2cf31969f9b85214310ac92bb8d2ac1,NG-SPFILE-001,NG-CLIM-OBS-000003,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000004,coordocc:nngla:311eda330d01974e946397d3942905a1c6e94aa46eb0256c3bfa26c03d0212cf,NG-SPFILE-001,NG-CLIM-OBS-000004,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000005,coordocc:nngla:7fa6ceacda178ffbf9d33d0ea36281be39e9e63979a710dd5cbf5c5b8c1fdddd,NG-SPFILE-001,NG-CLIM-OBS-000005,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000006,coordocc:nngla:a26f8dd2bb9a595ef68def135691d885c99d4e5eaed42de02abb3875924937cb,NG-SPFILE-001,NG-CLIM-OBS-000006,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000007,coordocc:nngla:1576de5a54819895a3dc1e51c57cdf3cade56f85340014767d697f3434c84b17,NG-SPFILE-001,NG-CLIM-OBS-000007,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000008,coordocc:nngla:ea923fd270d6130f74cbfdd99f5d7984f6d0615691e1eb93f427f1ca7a024d3a,NG-SPFILE-001,NG-CLIM-OBS-000008,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000009,coordocc:nngla:df19eafc21620423e27e151d3b5c7ddf864dce8275f3dbb00d7b3a1a8ff1a020,NG-SPFILE-001,NG-CLIM-OBS-000009,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
NG-FID-00000010,coordocc:nngla:96f2f2fccbacc3ce45ab3d2c13b0514de8c944c018639bfc5273b7650537e2ae,NG-SPFILE-001,NG-CLIM-OBS-000010,dataset:novegeo:climate:baseline,1,data/novegeo/geography/climate/qualified/novegeo_climate_v001.json,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,e3379d8f90e8f5f3f354c6d5610116d8ab57397da971698e6ae752b4d4f38151,MATCHED,MATCHED,MATCHED,MATCHED,PASS,
