spatial_reference_id,reference_type,topology_status,reciprocal_link_count,missing_direction_count,finding_count,detail
NG-MGRID-01-01,MAJOR_GRID,PASS,3,5,0,
NG-MGRID-01-02,MAJOR_GRID,PASS,5,3,0,
NG-MGRID-01-03,MAJOR_GRID,PASS,5,3,0,
NG-MGRID-01-04,MAJOR_GRID,PASS,3,5,0,
NG-MGRID-02-01,MAJOR_GRID,PASS,5,3,0,
NG-MGRID-02-02,MAJOR_GRID,PASS,8,0,0,
NG-MGRID-02-03,MAJOR_GRID,PASS,8,0,0,
NG-MGRID-02-04,MAJOR_GRID,PASS,5,3,0,
NG-MGRID-03-01,MAJOR_GRID,PASS,5,3,0,
NG-MGRID-03-02,MAJOR_GRID,PASS,8,0,0,
NG-MGRID-03-03,MAJOR_GRID,PASS,8,0,0,
NG-MGRID-03-04,MAJOR_GRID,PASS,5,3,0,
NG-MGRID-04-01,MAJOR_GRID,PASS,3,5,0,
NG-MGRID-04-02,MAJOR_GRID,PASS,5,3,0,
NG-MGRID-04-03,MAJOR_GRID,PASS,5,3,0,
NG-MGRID-04-04,MAJOR_GRID,PASS,3,5,0,
NG-SCELL-000001,REFERENCE_CELL,PASS,4,4,0,
NG-SCELL-000002,REFERENCE_CELL,PASS,5,3,0,
NG-SCELL-000003,REFERENCE_CELL,PASS,5,3,0,
NG-SCELL-000004,REFERENCE_CELL,PASS,5,3,0,
NG-SCELL-000005,REFERENCE_CELL,PASS,5,3,0,
NG-SCELL-000006,REFERENCE_CELL,PASS,5,3,0,
NG-SCELL-000007,REFERENCE_CELL,PASS,5,3,0,
NG-SCELL-000008,REFERENCE_CELL,PASS,5,3,0,
NG-SCELL-000009,REFERENCE_CELL,PASS,4,4,0,
NG-SCELL-000010,REFERENCE_CELL,PASS,4,4,0,
NG-SCELL-000011,REFERENCE_CELL,PASS,5,3,0,
NG-SCELL-000012,REFERENCE_CELL,PASS,5,3,0,
NG-SCELL-000013,REFERENCE_CELL,PASS,6,2,0,
NG-SCELL-000014,REFERENCE_CELL,PASS,7,1,0,
NG-SCELL-000015,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000016,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000017,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000018,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000019,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000020,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000021,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000022,REFERENCE_CELL,PASS,7,1,0,
NG-SCELL-000023,REFERENCE_CELL,PASS,6,2,0,
NG-SCELL-000024,REFERENCE_CELL,PASS,5,3,0,
NG-SCELL-000025,REFERENCE_CELL,PASS,5,3,0,
NG-SCELL-000026,REFERENCE_CELL,PASS,4,4,0,
NG-SCELL-000027,REFERENCE_CELL,PASS,4,4,0,
NG-SCELL-000028,REFERENCE_CELL,PASS,5,3,0,
NG-SCELL-000029,REFERENCE_CELL,PASS,6,2,0,
NG-SCELL-000030,REFERENCE_CELL,PASS,7,1,0,
NG-SCELL-000031,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000032,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000033,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000034,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000035,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000036,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000037,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000038,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000039,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000040,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000041,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000042,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000043,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000044,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000045,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000046,REFERENCE_CELL,PASS,7,1,0,
NG-SCELL-000047,REFERENCE_CELL,PASS,5,3,0,
