ID,first_name,gender,origin,language
1,José,Male,Spanish,Spanish
2,María,Female,Spanish,Spanish
3,Matias,Male,Spanish,Spanish
4,Sofía,Female,Spanish,Spanish
5,Joaquín,Male,Spanish,Spanish
6,Lucía,Female,Spanish,Spanish
7,Ángel,Male,Spanish,Spanish
8,Inés,Female,Spanish,Spanish
9,Alejandro,Male,Spanish,Spanish
10,Valeria,Female,Spanish,Spanish
11,Tomás,Male,Spanish,Spanish
12,Bárbara,Female,Spanish,Spanish
13,Raúl,Male,Spanish,Spanish
14,Estefanía,Female,Spanish,Spanish
15,Íñigo,Male,Spanish,Spanish
16,Seán,Male,Irish,Irish Gaelic
17,Siobhán,Female,Irish,Irish Gaelic
18,Cian,Male,Irish,Irish Gaelic
19,Niamh,Female,Irish,Irish Gaelic
20,Oisín,Male,Irish,Irish Gaelic
21,Aoife,Female,Irish,Irish Gaelic
22,Tadhg,Male,Irish,Irish Gaelic
23,Róisín,Female,Irish,Irish Gaelic
24,Cathal,Male,Irish,Irish Gaelic
25,Caoimhe,Female,Irish,Irish Gaelic
26,Dónal,Male,Irish,Irish Gaelic
27,Saoirse,Female,Irish,Irish Gaelic
28,Pádraig,Male,Irish,Irish Gaelic
29,Clíodhna,Female,Irish,Irish Gaelic
30,Éamonn,Male,Irish,Irish Gaelic
31,Günther,Male,German,German
32,Dörte,Female,German,German
33,Jürgen,Male,German,German
34,Bärbel,Female,German,German
35,Lukas,Male,German,German
36,Britta,Female,German,German
37,Rüdiger,Male,German,German
38,Frauke,Female,German,German
39,Götz,Male,German,German
40,Annegret,Female,German,German
41,Sören,Male,German,German
42,Käthe,Female,German,German
43,Ömer,Male,German,German
44,Frieda,Female,German,German
45,Torsten,Male,German,German
46,Míng,Male,Chinese,Mandarin
47,Wěi,Male,Chinese,Mandarin
48,Lǐ,Female,Chinese,Mandarin
49,Xiāng,Female,Chinese,Mandarin
50,Qiáng,Male,Chinese,Mandarin
51,Fang,Female,Chinese,Mandarin
52,Háo,Male,Chinese,Mandarin
53,Yīng,Female,Chinese,Mandarin
54,Jié,Male,Chinese,Mandarin
55,Tíng,Female,Chinese,Mandarin
56,Báo,Male,Chinese,Mandarin
57,Lán,Female,Chinese,Mandarin
58,Dōng,Male,Chinese,Mandarin
59,Mei,Female,Chinese,Mandarin
60,Hán,Male,Chinese,Mandarin
61,Bénédicte,Female,Cameroon,French
62,Chérif,Male,Senegal,French / Wolof
63,Mamadou,Male,Senegal,Wolof
64,Khady,Female,Senegal,Wolof
65,Amadou,Male,Senegal,Wolof
66,Ndeye,Female,Senegal,Wolof
67,Kofi,Male,Ghana,Akan
68,Ama,Female,Ghana,Akan
69,Kwame,Male,Ghana,Akan
70,Akosua,Female,Ghana,Akan
71,Yaw,Male,Ghana,Akan
72,Abena,Female,Ghana,Akan
73,Dieudonné,Male,Cameroon,French
74,Fanta,Female,Senegal,Mandinka
75,Gifty,Female,Ghana,English
76,Nqobile,Female,South African,Zulu
77,Xolani,Male,South African,Xhosa
78,Sibusiso,Male,South African,Zulu
79,Thandeka,Female,South African,Zulu
80,Nkosilathi,Male,Zimbabwean,Ndebele
81,Tendai,Male,Zimbabwean,Shona
82,Chipo,Female,Zimbabwean,Shona
83,Farai,Male,Zimbabwean,Shona
84,Ruvimbo,Female,Zimbabwean,Shona
85,Bongani,Male,South African,Zulu
86,Nomvula,Female,South African,Zulu
87,Simba,Male,Zimbabwean,Shona
88,Nyasha,Female,Zimbabwean,Shona
89,Sipho,Male,South African,Xhosa
90,Lerato,Female,South African,Sotho
91,Zoë,Female,British,English
92,Chloë,Female,British,English
93,Noël,Male,British,French / English
94,Renée,Female,Latin,French / Latin origin
95,Aarav,Male,Hindi,Hindi
96,Ananya,Female,Hindi,Hindi
97,Vihaan,Male,Hindi,Hindi
98,Diya,Female,Hindi,Hindi
99,Arjun,Male,Hindi,Hindi
100,Saanvi,Female,Hindi,Hindi
101,Mateo,Male,American,Spanish / English
102,Jayden,Male,American,English
103,Nevaeh,Female,American,English (Peculiar)
104,Daequan,Male,American,English (Peculiar)
105,LaKeisha,Female,American,English (Peculiar)
106,José,Male,Spanish,Spanish
107,María,Female,Spanish,Spanish
108,Matias,Male,Spanish,Spanish
109,Sofía,Female,Spanish,Spanish
110,Joaquín,Male,Spanish,Spanish
111,Lucía,Female,Spanish,Spanish
112,Ángel,Male,Spanish,Spanish
113,Inés,Female,Spanish,Spanish
114,Alejandro,Male,Spanish,Spanish
115,Valeria,Female,Spanish,Spanish
116,Tomás,Male,Spanish,Spanish
117,Bárbara,Female,Spanish,Spanish
118,Raúl,Male,Spanish,Spanish
119,Estefanía,Female,Spanish,Spanish
120,Íñigo,Male,Spanish,Spanish
121,Seán,Male,Irish,Irish Gaelic
122,Siobhán,Female,Irish,Irish Gaelic
123,Cian,Male,Irish,Irish Gaelic
124,Niamh,Female,Irish,Irish Gaelic
125,Oisín,Male,Irish,Irish Gaelic
126,Aoife,Female,Irish,Irish Gaelic
127,Tadhg,Male,Irish,Irish Gaelic
128,Róisín,Female,Irish,Irish Gaelic
129,Cathal,Male,Irish,Irish Gaelic
130,Caoimhe,Female,Irish,Irish Gaelic
131,Dónal,Male,Irish,Irish Gaelic
132,Saoirse,Female,Irish,Irish Gaelic
133,Pádraig,Male,Irish,Irish Gaelic
134,Clíodhna,Female,Irish,Irish Gaelic
135,Éamonn,Male,Irish,Irish Gaelic
136,Günther,Male,German,German
137,Dörte,Female,German,German
138,Jürgen,Male,German,German
139,Bärbel,Female,German,German
140,Lukas,Male,German,German
141,Britta,Female,German,German
142,Rüdiger,Male,German,German
143,Frauke,Female,German,German
144,Götz,Male,German,German
145,Annegret,Female,German,German
146,Sören,Male,German,German
147,Käthe,Female,German,German
148,Ömer,Male,German,German
149,Frieda,Female,German,German
150,Torsten,Male,German,German
151,Míng,Male,Chinese,Mandarin
152,Wěi,Male,Chinese,Mandarin
153,Lǐ,Female,Chinese,Mandarin
154,Xiāng,Female,Chinese,Mandarin
155,Qiáng,Male,Chinese,Mandarin
156,Fang,Female,Chinese,Mandarin
157,Háo,Male,Chinese,Mandarin
158,Yīng,Female,Chinese,Mandarin
159,Jié,Male,Chinese,Mandarin
160,Tíng,Female,Chinese,Mandarin
161,Báo,Male,Chinese,Mandarin
162,Lán,Female,Chinese,Mandarin
163,Dōng,Male,Chinese,Mandarin
164,Mei,Female,Chinese,Mandarin
165,Hán,Male,Chinese,Mandarin
166,Bénédicte,Female,Cameroon,French
167,Chérif,Male,Senegal,French / Wolof
168,Mamadou,Male,Senegal,Wolof
169,Khady,Female,Senegal,Wolof
170,Amadou,Male,Senegal,Wolof
171,Ndeye,Female,Senegal,Wolof
172,Kofi,Male,Ghana,Akan
173,Ama,Female,Ghana,Akan
174,Kwame,Male,Ghana,Akan
175,Akosua,Female,Ghana,Akan
176,Yaw,Male,Ghana,Akan
177,Abena,Female,Ghana,Akan
178,Dieudonné,Male,Cameroon,French
179,Fanta,Female,Senegal,Mandinka
180,Gifty,Female,Ghana,English
181,Nqobile,Female,South African,Zulu
182,Xolani,Male,South African,Xhosa
183,Sibusiso,Male,South African,Zulu
184,Thandeka,Female,South African,Zulu
185,Nkosilathi,Male,Zimbabwean,Ndebele
186,Tendai,Male,Zimbabwean,Shona
187,Chipo,Female,Zimbabwean,Shona
188,Farai,Male,Zimbabwean,Shona
189,Ruvimbo,Female,Zimbabwean,Shona
190,Bongani,Male,South African,Zulu
191,Nomvula,Female,South African,Zulu
192,Simba,Male,Zimbabwean,Shona
193,Nyasha,Female,Zimbabwean,Shona
194,Sipho,Male,South African,Xhosa
195,Lerato,Female,South African,Sotho
196,Zoë,Female,British,English
197,Chloë,Female,British,English
198,Noël,Male,British,French / English
199,Renée,Female,Latin,French / Latin origin
200,Aarav,Male,Hindi,Hindi
201,Ananya,Female,Hindi,Hindi
202,Vihaan,Male,Hindi,Hindi
203,Diya,Female,Hindi,Hindi
204,Arjun,Male,Hindi,Hindi
205,Saanvi,Female,Hindi,Hindi
206,Mateo,Male,American,Spanish / English
207,Jayden,Male,American,English
208,Nevaeh,Female,American,English (Peculiar)
209,Daequan,Male,American,English (Peculiar)
210,LaKeisha,Female,American,English (Peculiar)
211,José,Male,Spanish,Spanish
212,María,Female,Spanish,Spanish
213,Matias,Male,Spanish,Spanish
