id,second name,origin,language
1,Béranger,France,French
2,François,France,French
3,Clément,France,French
4,Gagné,Canada,French
5,Tremblay,Canada,French
6,Lévesque,Canada,French
7,Müller,Germany,German
8,Jäger,Germany,German
9,Schröder,Germany,German
10,Gómez,Spain,Spanish
11,Rodríguez,Spain,Spanish
12,García,Spain,Spanish
13,López,Spain,Spanish
14,Martínez,Spain,Spanish
15,Hernández,Spain,Spanish
16,Peña,Spain,Spanish
17,Núñez,Spain,Spanish
18,Belmonte,Spain,Spanish
19,Sørensen,Denmark,Danish
20,Müller,Austria,German
21,Kärkkäinen,Finland,Finnish
22,Väisänen,Finland,Finnish
23,Mäkelä,Finland,Finnish
24,Hämäläinen,Finland,Finnish
25,Dvořák,Czech Republic,Czech
26,Nováková,Czech Republic,Czech
27,Černý,Czech Republic,Czech
28,Kučera,Czech Republic,Czech
29,Veselý,Czech Republic,Czech
30,Horák,Czech Republic,Czech
31,Kowalski,Poland,Polish
32,Wiśniewski,Poland,Polish
33,Kamiński,Poland,Polish
34,Lewandowski,Poland,Polish
35,Zieliński,Poland,Polish
36,Szymański,Poland,Polish
37,Woźniak,Poland,Polish
38,Kozłowski,Poland,Polish
39,Kaczmarek,Poland,Polish
40,Nagy,Hungary,Hungarian
41,Kovács,Hungary,Hungarian
42,Tóth,Hungary,Hungarian
43,Szabó,Hungary,Hungarian
44,Kiss,Hungary,Hungarian
45,Molnár,Hungary,Hungarian
46,Horváth,Hungary,Hungarian
47,Popescu,Romania,Romanian
48,Radu,Romania,Romanian
49,N'Diaye,Senegal,Wolof
50,Diallo,Guinea,Fula
51,Diop,Senegal,Wolof
52,Traoré,Mali,Bambara
53,Keïta,Mali,Bambara
54,Osei,Ghana,Twi
55,Mensah,Ghana,Akan
56,Owusu,Ghana,Akan
57,Okafor,Nigeria,Igbo
58,Okeke,Nigeria,Igbo
59,Chukwu,Nigeria,Igbo
60,Nwachukwu,Nigeria,Igbo
61,Adebayọ,Nigeria,Yoruba
