ID,first_name,gender,origin,Language
1,Klaus,Male,Germany,German
2,Izand,Male,Spanish,Spanish
3,Penelope,Female,American,English
4,Kudakwashe,Male,Zimbabwean,Shona
5,Memory,Female,Zimbabwean,Shona
6,Margarita,Female,Spanish,Spanish
7,Kofi,Male,Ghana,Akan
8,Precious,Female,South African,Zulu
9,Bin,Male,Chinese,Mandarin
10,Denise,Female,Cameroon,French
11,Lily,Female,American,English
12,Emmanuel,Male,Ghana,Akan
13,Fei,Male,Chinese,Mandarin
14,Ayanda,Female,South African,Zulu
15,Sipho,Male,South African,Zulu
16,Juana,Female,Spanish,Spanish
17,Yaa,Female,Ghana,Akan
18,Thomas,Male,British,English
19,Ronan,Male,Irish,Irish
20,Sophia,Female,American,English
21,Yan,Male,Chinese,Mandarin
22,Leo,Male,Spanish,Spanish
23,Khoudia,Female,Senegal,Wolof
24,Johanna,Female,Germany,German
25,Michel,Male,Cameroon,French
26,Monique,Female,Cameroon,French
27,Anima,Female,Ghana,Akan
28,Tapiwa,Female,Zimbabwean,Shona
29,Leonie,Female,Germany,German
30,Sextus,Male,Latin,Latin
31,Gaius,Male,Latin,Latin
32,Alok,Male,Hindi,Hindi
33,Shane,Male,Irish,Irish
34,Araba,Female,Ghana,Akan
35,Ayanda,Male,South African,Zulu
36,Walter,Male,British,English
37,Oumar,Male,Senegal,Wolof
38,Finn,Male,Irish,Irish
39,Divya,Female,Hindi,Hindi
40,Deirdre,Female,Irish,Irish
41,Fabia,Female,Latin,Latin
42,Donnacha,Male,Irish,Irish
43,Ida,Female,Germany,German
44,Gráinne,Female,Irish,Irish
45,Ouleymatou,Female,Senegal,Wolof
46,Kuuku,Male,Ghana,Akan
47,Gorgui,Male,Senegal,Wolof
48,Yue,Female,Chinese,Mandarin
49,Isabel,Female,Spanish,Spanish
50,Finn,Male,Germany,German
51,James,Male,American,English
52,Elias,Male,Germany,German
53,Mthokozisi,Male,South African,Zulu
54,Rose,Female,Cameroon,French
55,Yang,Male,Chinese,Mandarin
56,Violet,Female,American,English
57,Sunil,Male,Hindi,Hindi
58,Never,Male,Zimbabwean,Shona
59,Poppy,Female,British,English
60,Kweku,Male,Ghana,Akan
61,Olivier,Male,Cameroon,French
62,Lucas,Male,Spanish,Spanish
63,Moritz,Male,Germany,German
64,Caoimhe,Female,Irish,Irish
65,Amadou,Male,Senegal,Wolof
66,Sibusiso,Male,South African,Zulu
67,Muhammad,Male,British,English
68,Fang,Female,Chinese,Mandarin
69,Elisabeth,Female,Cameroon,French
70,Thabo,Male,South African,Zulu
71,Ohemaa,Female,Ghana,Akan
72,Takudzwa,Male,Zimbabwean,Shona
73,Krepin,Male,Senegal,Wolof
74,Julia,Female,Latin,Latin
75,Mateo,Male,Spanish,Spanish
76,Paul,Male,Cameroon,French
77,Edith,Female,British,English
78,Charlotte,Female,Cameroon,French
79,Spurius,Male,Latin,Latin
80,Huan,Female,Chinese,Mandarin
81,Fama,Female,Senegal,Wolof
82,Lina,Female,Germany,German
83,Nana,Female,Ghana,Akan
84,Blathnaid,Female,Irish,Irish
85,Feng,Male,Chinese,Mandarin
86,Samuel,Male,Germany,German
87,Lwazi,Male,South African,Zulu
88,Odhran,Male,Irish,Irish
89,Daniel,Male,Cameroon,French
90,Eric,Male,Cameroon,French
91,Mildred,Female,American,English
92,Beatrix,Female,Latin,Latin
93,Lena,Female,Germany,German
94,Kalidou,Male,Senegal,Wolof
95,Amanda,Female,Latin,Latin
96,Antonia,Female,Latin,Latin
97,Wei,Male,Chinese,Mandarin
98,Demba,Male,Senegal,Wolof
99,Cian,Male,Irish,Irish
100,Colette,Female,Cameroon,French
101,Takesure,Male,Zimbabwean,Shona
102,Neha,Female,Hindi,Hindi
103,Samuel,Male,American,English
104,Oonagh,Female,Irish,Irish
105,Camilla,Female,Latin,Latin
106,Hugo,Male,Spanish,Spanish
107,Beatrice,Female,British,English
108,Awusi,Female,Ghana,Akan
109,Rahul,Male,Hindi,Hindi
110,Henry,Male,Germany,German
111,Anjali,Female,Hindi,Hindi
112,Ndeye,Female,Senegal,Wolof
113,Charles,Male,British,English
114,Virginia,Female,Latin,Latin
115,Meabh,Female,Irish,Irish
116,Tadhg,Male,Irish,Irish
117,Eoghan,Male,Irish,Irish
118,Vivaan,Male,Hindi,Hindi
119,Antonia,Female,Spanish,Spanish
120,Wen,Female,Chinese,Mandarin
121,Charles,Male,Cameroon,French
122,Diya,Female,Hindi,Hindi
123,Asantewaa,Female,Ghana,Akan
124,Chipo,Female,Zimbabwean,Shona
125,Oran,Male,Irish,Irish
126,Arjun,Male,Hindi,Hindi
127,Fatou,Female,Senegal,Wolof
128,Babacar,Male,Senegal,Wolof
129,Beatriz,Female,Spanish,Spanish
130,琳 (Lin),Female,Chinese,Mandarin
131,Clara,Female,Latin,Latin
132,Stephane,Male,Cameroon,French
133,Helena,Female,Germany,German
134,Sai,Male,Hindi,Hindi
135,Abdoulaye,Male,Senegal,Wolof
136,Siyabonga,Male,South African,Zulu
137,Maeve,Female,Irish,Irish
138,Pierre,Male,Cameroon,French
139,Fernando,Male,Spanish,Spanish
140,Memory,Male,Zimbabwean,Shona
141,Jakob,Male,Germany,German
142,Hlengiwe,Female,South African,Zulu
143,Margaret,Female,British,English
144,Hadrian,Male,Latin,Latin
145,Sindi,Female,South African,Zulu
146,Vusi,Male,South African,Zulu
147,Saanvi,Female,Hindi,Hindi
148,Luis,Male,Spanish,Spanish
