id,name,tribe
sn_001,Bregach,trb_001
sn_002,Bregar,trb_001
sn_003,Bregath,trb_001
sn_004,Bregax,trb_001
sn_005,Bregburg,trb_001
sn_006,Bregen,trb_001
sn_007,Breger,trb_001
sn_008,Bregic,trb_001
sn_009,Bregoff,trb_001
sn_010,Bregog,trb_001
sn_011,Bregond,trb_001
sn_012,Bregor,trb_001
sn_013,Bregov,trb_001
sn_014,Bregstein,trb_001
sn_015,Bregus,trb_001
sn_016,Breg斯特,trb_001
sn_017,Draugach,trb_001
sn_018,Draugar,trb_001
sn_019,Draugath,trb_001
sn_020,Draugax,trb_001
sn_021,Draugburg,trb_001
sn_022,Draugen,trb_001
sn_023,Drauger,trb_001
sn_024,Draugic,trb_001
sn_025,Draugoff,trb_001
sn_026,Draugog,trb_001
sn_027,Draugond,trb_001
sn_028,Draugor,trb_001
sn_029,Draugov,trb_001
sn_030,Draugstein,trb_001
sn_031,Draugus,trb_001
sn_032,Draug斯特,trb_001
sn_033,Gundach,trb_001
sn_034,Gundar,trb_001
sn_035,Gundath,trb_001
sn_036,Gundax,trb_001
sn_037,Gundburg,trb_001
sn_038,Gunden,trb_001
sn_039,Gunder,trb_001
sn_040,Gundic,trb_001
sn_041,Gundoff,trb_001
sn_042,Gundog,trb_001
sn_043,Gundond,trb_001
sn_044,Gundor,trb_001
sn_045,Gundov,trb_001
sn_046,Gundstein,trb_001
sn_047,Gundus,trb_001
sn_048,Gund斯特,trb_001
sn_049,Krossach,trb_001
sn_050,Krossar,trb_001
sn_051,Krossath,trb_001
sn_052,Krossax,trb_001
sn_053,Krossburg,trb_001
sn_054,Krossen,trb_001
sn_055,Krosser,trb_001
sn_056,Krossic,trb_001
sn_057,Krossoff,trb_001
sn_058,Krossog,trb_001
sn_059,Krossond,trb_001
sn_060,Krossor,trb_001
sn_061,Krossov,trb_001
sn_062,Krossstein,trb_001
sn_063,Krossus,trb_001
sn_064,Kross斯特,trb_001
sn_065,Varnach,trb_001
sn_066,Varnar,trb_001
